11/10/2017,Antelope Valley,45,San Jose St.,97
11/10/2017,La Verne,70,Santa Clara,120
11/10/2017,Fairleigh Dickinson,68,Seton Hall,90
11/10/2017,UMBC,67,SMU,78
11/10/2017,UC Irvine,54,South Dakota St.,65
11/10/2017,Florida Atlantic,59,South Florida,60
11/10/2017,Missouri Baptist,69,Southeast Missouri St.,81
11/10/2017,Centenary,67,Southeastern Louisiana,99
11/10/2017,Southern New Orleans,69,Southern Miss,79
11/10/2017,Niagara,77,St. Bonaventure,75
11/10/2017,New Orleans,61,St. John's,77
11/10/2017,Cal Poly,62,Stanford,78
11/10/2017,Webber International,89,Stetson,98
11/10/2017,Maryland,76,Stony Brook,"61 n   Uniondale, NY"
11/10/2017,Cornell,45,Syracuse,77
11/10/2017,Louisiana Monroe,73,TCU,83
11/10/2017,Presbyterian,53,Tennessee,88
11/10/2017,Midway,56,Tennessee Tech,94
11/10/2017,Northwestern St.,59,Texas,105
11/10/2017,Our Lady of the Lake,68,Texas A&M Corpus Chris,69
11/10/2017,South Alabama,50,Texas Tech,75
11/10/2017,Oglethorpe,73,The Citadel,109
11/10/2017,LIU Brooklyn,96,Tulane,102
11/10/2017,Lamar,74,Tulsa,67
11/10/2017,Jacksonville,67,UAB,96
11/10/2017,Mercer,79,UCF,88
11/10/2017,Georgia Tech,60,UCLA,"63 N   Shanghai, China"
11/10/2017,Cal St. Fullerton,42,USC,84
11/10/2017,Nicholls St.,111,UT Rio Grande Valley,106
11/10/2017,Prairie View A&M,62,Utah,83
11/10/2017,Louisiana College,50,UTEP,100
11/10/2017,North Park,46,Valparaiso,88
11/10/2017,Austin Peay,54,Vanderbilt,73
11/10/2017,Grambling St.,65,VCU,94
11/10/2017,Columbia,60,Villanova,75
11/10/2017,UNC Greensboro,48,Virginia,60
11/10/2017,Detroit,79,Virginia Tech,111
11/10/2017,Georgia Southern,85,Wake Forest,83
11/10/2017,Belmont,82,Washington,86
11/10/2017,Utah St.,59,Weber St.,65
11/10/2017,Texas A&M,88,West Virginia,"65 N   Ramstein, Germany"
11/10/2017,Missouri St.,85,Western Kentucky,80
11/10/2017,UMKC,57,Wichita St.,109
11/10/2017,Southern Illinois,81,Winthrop,66
11/10/2017,South Carolina St.,50,Wisconsin,85
11/10/2017,South Carolina,73,Wofford,52
11/10/2017,Chattanooga,65,Wyoming,74
11/10/2017,Morehead St.,49,Xavier,101
11/11/2017,Cleveland St.,57,Akron,67
11/11/2017,Toccoa Falls,34,Appalachian St.,135
11/11/2017,IUPUI,53,Bradley,68
11/11/2017,Johnson & Wales RI,78,Brown,106
11/11/2017,Canisius,75,Buffalo,80
11/11/2017,Mississippi Valley St.,61,BYU,91
11/11/2017,Notre Dame,72,DePaul,58
11/11/2017,Coe,54,Drake,101
11/11/2017,Utah Valley,69,Duke,99
11/11/2017,St. Francis NY,70,Duquesne,80
11/11/2017,William Peace,53,Elon,96
11/11/2017,Penn,72,Fairfield,80
11/11/2017,Illinois St.,87,Florida Gulf Coast,98
11/11/2017,Saint Peter's,40,La Salle,61
11/11/2017,Ouachita Baptist,81,Little Rock,79
11/11/2017,Stephen F. Austin,74,Longwood,61
11/11/2017,Lehigh,84,Marist,76 1
11/11/2017,North Florida,66,Michigan,86
11/11/2017,Eastern Illinois,68,Nebraska,72
11/11/2017,Northern New Mexico,76,New Mexico,147
11/11/2017,Wagner,60,NJIT,49
11/11/2017,Alabama A&M,53,Ohio,61
11/11/2017,Portland St.,80,Portland,75
11/11/2017,Johnson  TN,87,Presbyterian,107
11/11/2017,Dartmouth,77,Quinnipiac,78
11/11/2017,St. Francis PA,68,Saint Mary's,85
11/11/2017,Texas Tyler,51,Sam Houston St.,91
11/11/2017,Mayville St.,59,South Dakota,87
11/11/2017,Saint Joseph's,87,Toledo,98
11/11/2017,North Dakota St.,66,UC Santa Barbara,85
11/11/2017,NC Wesleyan,81,UNC Wilmington,105
11/11/2017,Florida A&M,66,UNLV,108
11/11/2017,Loyola Marymount,80,UT Arlington,85
11/11/2017,St. Mary's  MN,68,Western Illinois,109
11/11/2017,Siena Heights,72,Western Michigan,103
11/11/2017,Kent St.,111,Youngstown St.,"78 N   Akron, OH"
11/12/2017,Texas St.,57,Air Force,65
11/12/2017,Bridgewater VA,57,Appalachian St.,95
11/12/2017,UMBC,78,Arizona,103
11/12/2017,Bucknell,73,Arkansas,101
11/12/2017,Southern Utah,69,Boise St.,90
11/12/2017,South Carolina St.,52,Boston College,91
11/12/2017,Princeton,75,Butler,85
11/12/2017,Cal Poly,82,California,85
11/12/2017,Univ. of the Ozarks,51,Central Arkansas,99
11/12/2017,North Carolina A&T,63,Clemson,87
11/12/2017,Alcorn St.,72,Creighton,109
11/12/2017,UC Irvine,83,Denver,69
11/12/2017,Coppin St.,50,East Carolina,76
11/12/2017,Michigan Dearborn,73,Eastern Michigan,97
11/12/2017,Stetson,70,FIU,64 1
11/12/2017,Defiance,59,Fort Wayne,114
11/12/2017,Jacksonville,57,Georgetown,73
11/12/2017,Bluefield College,68,Hampton,85
11/12/2017,Gordon,63,Hartford,80
11/12/2017,Massachusetts,67,Harvard,70 1
11/12/2017,North Dakota,78,Hawaii,81
11/12/2017,Tennessee Martin,74,Illinois,77
11/12/2017,Howard,77,Indiana,86
11/12/2017,Alabama St.,58,Iowa,92
11/12/2017,Vermont,69,Kentucky,73
11/12/2017,Morehead St.,70,Lipscomb,77
11/12/2017,George Mason,61,Louisville,72
11/12/2017,Eureka,69,Loyola Chicago,96
11/12/2017,Maryland Eastern Shore,43,Maryland,96
11/12/2017,Toccoa Falls,43,Mercer,110
11/12/2017,Navy,55,Miami FL,89
11/12/2017,Charleston Southern,56,North Carolina St.,78
11/12/2017,Wentworth,49,Northeastern,83
11/12/2017,Wilmington OH,65,Northern Kentucky,93
11/12/2017,LeTourneau,99,Northwestern St.,84
11/12/2017,Radford,72,Ohio St.,82
11/12/2017,Nebraska Omaha,89,Oklahoma,108
11/12/2017,Fairleigh Dickinson,57,Penn St.,81
11/12/2017,Chicago St.,42,Purdue,111
11/12/2017,Central Connecticut,67,Rutgers,71
11/12/2017,San Diego,81,San Jose St.,64
11/12/2017,Puget Sound,70,Seattle,121
11/12/2017,Monmouth,65,Seton Hall,75
11/12/2017,Louisiana Monroe,65,SMU,83
11/12/2017,Mary,54,South Dakota St.,78
11/12/2017,Pacific,80,Stanford,89
11/12/2017,Arkansas Pine Bluff,57,Troy,"81 N   Honolulu, HI"
11/12/2017,UMass Boston,63,UMass Lowell,102
11/12/2017,Haskell,59,UMKC,110
11/12/2017,Allen,66,USC Upstate,85
11/12/2017,East Central,59,UTSA,92
11/12/2017,The Citadel,93,Virginia Tech,132
11/12/2017,Eastern Washington,69,Washington,79
11/12/2017,Texas Southern,84,Washington St.,86 1
11/12/2017,Yale,61,Wisconsin,89
11/12/2017,Washington & Lee,66,Wofford,103
11/13/2017,North Dakota,80,Arkansas Pine Bluff,"71 N   Honolulu, HI"
11/13/2017,Abilene Christian,69,Arkansas St.,83
11/13/2017,Texas A&M Corpus Chris,46,Baylor,70
11/13/2017,Vanderbilt,60,Belmont,69
11/13/2017,Albany,88,Boston University,74
11/13/2017,South Dakota,88,Bowling Green,79
11/13/2017,Columbia International,44,Campbell,108
11/13/2017,Western Carolina,51,Cincinnati,102
11/13/2017,Binghamton,84,Cornell,94
11/13/2017,Delaware St.,57,DePaul,81
11/13/2017,Michigan Dearborn,82,Detroit,105
11/13/2017,Arcadia,81,Drexel,95
11/13/2017,North Carolina Central,55,Evansville,68
11/13/2017,Gardner Webb,74,Florida,116
11/13/2017,LIU Brooklyn,68,Fordham,81
11/13/2017,Cal St. Northridge,73,Fresno St.,89
11/13/2017,Cal St. Bakersfield,53,Georgia Southern,77
11/13/2017,Robert Morris,61,Grand Canyon,75
11/13/2017,Troy,67,Hawaii,72 1
11/13/2017,Kennesaw St.,57,Hofstra,75
11/13/2017,George Fox,62,Idaho,101
11/13/2017,Saint Joseph's,86,Illinois Chicago,82 1
11/13/2017,Trinity  TX,57,Incarnate Word,93
11/13/2017,Milwaukee,74,Iowa St.,56
11/13/2017,Anderson  IN,43,IUPUI,75
11/13/2017,Old Dominion,69,James Madison,53
