HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  51,Florida,=  82.84 ,21,13,78.46(  43),,2,6,|,,4   9,| ,82.24   51 | ,83.19,45
  52,Louisville,=  82.68 ,20,13,78.54(  40),,2,5,|,,3   8,| ,81.34   56 | ,84,37
  53,Murray State,=  82.56 ,29,5,68.31( 262),,0,2,|,,1   2,| ,82.66   47 | ,82.18,58
  54,VCU(Va. Commonwea,lth)   =  82.47 ,27,9,73.19( 147),,0,0,|,,3   2,| ,82.43   49 | ,82.22,57
  55,Siena,=  82.25 ,27,7,71.94( 170),,0,4,|,,0   5,| ,82.93   46 | ,81.35,61
  56,Mississippi State,=  82.21 ,24,12,76.34(  72),,0,3,|,,4   6,| ,81.06   58 | ,83.24,44
  57,Illinois,=  82.12 ,21,15,78.97(  27),,3,9,|,,5  11,| ,81.46   55 | ,82.54,52
  58,Miami-Florida,=  81.91 ,19,13,77.29(  60),,0,3,|,,6   9,| ,80.89   61 | ,82.78,50
  59,Memphis,=  81.65 ,24,10,73.47( 138),,0,3,|,,0   6,| ,80.29   65 | ,82.96,48
  60,Connecticut,=  81.40 ,18,16,79.44(  16),,3,4,|,,4   8,| ,80.18   67 | ,82.52,53
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  61,UAB,=  81.34 ,25,9,74.33( 118),,1,0,|,,1   3,| ,80.93   60 | ,81.47,60
  62,Arizona State,=  81.24 ,22,11,75.18(  93),,0,5,|,,2   6,| ,79.35   77 | ,83.33,42
  63,Texas Tech,=  80.97 ,19,16,79.51(  13),,0  1,0,|,,3  13,| ,81.31   57 | ,80.36,68
  64,Seton Hall,=  80.67 ,19,13,77.93(  53),,0,6,|,,3  10,| ,80.81   62 | ,80.24,70
  65,Cincinnati,=  80.63 ,19,16,79.32(  18),,1,7,|,,3  11,| ,80.57   64 | ,80.41,66
  66,NC State,=  80.54 ,20,16,78.99(  26),,1,2,|,,6  10,| ,81.06   59 | ,79.77,74
  67,Wichita State,=  80.49 ,24,10,74.28( 120),,1,2,|,,1   4,| ,80.73   63 | ,79.97,72
  68,St. John's,=  80.28 ,17,16,79.56(  11),,1,5,|,,2  10,| ,79.70   72 | ,80.6,64
  69,Missouri State,=  79.78 ,24,12,73.46( 139),,0,2,|,,0   2,| ,79.52   75 | ,79.77,75
  70,Alabama,=  79.77 ,17,15,77.48(  57),,1,5,|,,1  10,| ,78.34   84 | ,81.12,63
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  71,Boston College,=  79.50 ,15,16,78.75(  34),,0,4,|,,3  11,| ,78.31   85 | ,80.54,65
  72,South Florida,=  79.42 ,20,13,77.26(  61),,1,4,|,,2   7,| ,79.54   74 | ,79.03,80
  73,Iowa State,=  79.35 ,15,17,79.36(  17),,1  1,2,|,,1  13,| ,78.26   87 | ,80.27,69
  74,Nevada,=  79.34 ,20,13,75.44(  89),,0,1,|,,0   6,| ,79.63   73 | ,78.77,82
  75,Tulsa,=  79.23 ,22,12,74.13( 123),,0,1,|,,1   4,| ,78.40   83 | ,79.84,73
  76,Northwestern,=  79.17 ,20,14,76.19(  77),,1,7,|,,3   9,| ,79.15   79 | ,78.91,81
  77,Wright State,=  79.12 ,20,12,73.71( 131),,0,3,|,,0   4,| ,77.75   92 | ,80.38,67
  78,Virginia,=  79.05 ,15,16,78.75(  35),,0,4,|,,2  10,| ,78.18   88 | ,79.71,76
  79,Kent State,=  78.99 ,23,10,73.88( 127),,0,1,|,,0   2,| ,79.92   70 | ,77.85,92
  80,Wofford,=  78.93 ,25,9,71.51( 185),,0,2,|,,0   3,| ,79.46   76 | ,78.15,88
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  81,South Carolina,=  78.91 ,15,16,79.03(  25),,1,4,|,,3   7,| ,78.27   86 | ,79.31,78
  82,Northeastern,=  78.60 ,20,13,74.91( 103),,0,0,|,,2   2,| ,77.71   93 | ,79.27,79
  83,Charlotte,=  78.60 ,19,12,75.45(  88),,1,5,|,,2   9,| ,80.26   66 | ,76.85,98
  84,Saint Louis,=  78.57 ,22,13,75.36(  91),,2,2,|,,4   5,| ,79.92   69 | ,77.08,97
  85,Southern Californ,ia     =  78.56 ,16,14,76.91(  68),,2,2,|,,6   3,| ,77.46   95 | ,79.48,77
  86,Marshall,=  78.50 ,21,10,73.36( 142),,0,1,|,,0   4,| ,77.99   90 | ,78.75,83
  87,Michigan,=  78.42 ,14,17,78.90(  29),,1,8,|,,3   9,| ,76.61  107 | ,80.23,71
  88,Illinois State,=  78.28 ,22,11,73.58( 136),,0,3,|,,0   3,| ,79.06   80 | ,77.27,94
  89,Portland,=  78.25 ,19,11,73.78( 129),,0,1,|,,2   6,| ,78.06   89 | ,78.15,87
  90,Arizona,=  78.16 ,16,15,77.95(  52),,1,3,|,,2   7,| ,77.87   91 | ,78.17,86
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  91,Georgia,=  78.13 ,14,17,79.48(  15),,1,4,|,,3   8,| ,77.69   94 | ,78.3,85
  92,William & Mary,=  78.02 ,21,11,75.12(  96),,1,0,|,,3   4,| ,79.98   68 | ,76.03,107
  93,Colorado,=  77.88 ,13,16,79.27(  19),,1,8,|,,1  10,| ,77.35   97 | ,78.14,89
  94,Pacific,=  77.72 ,23,12,72.17( 163),,0,1,|,,1   3,| ,78.50   82 | ,76.71,101
  95,Nebraska,=  77.46 ,15,18,78.46(  45),,1  1,1,|,,1  12,| ,76.59  108 | ,78.09,90
  96,Oklahoma,=  77.23 ,13,18,79.62(  10),,2,7,|,,3  11,| ,76.72  105 | ,77.47,93
  97,New Mexico State,=  77.18 ,21,12,75.16(  95),,0,1,|,,3   6,| ,79.85   71 | ,74.64,126
  98,Ohio University,=  77.00 ,21,15,73.04( 149),,1,1,|,,1   2,| ,76.47  109 | ,77.26,95
  99,Louisiana Tech,=  76.94 ,24,11,72.80( 156),,0,0,|,,1   3,| ,78.71   81 | ,75.08,120
 100,Providence,=  76.79 ,12,19,78.96(  28),,0,5,|,,0  10,| ,74.98  123 | ,78.52,84
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 101,Iona,=  76.77 ,21,10,71.58( 181),,0,1,|,,0   2,| ,77.37   96 | ,75.91,108
 102,Sam Houston State,=  76.52 ,21,8,69.34( 240),,0,2,|,,0   2,| ,76.00  114 | ,76.78,100
 103,Creighton,=  76.40 ,18,16,75.09(  97),,0,4,|,,0   5,| ,76.73  104 | ,75.79,110
 104,Houston,=  76.29 ,18,16,74.42( 114),,0,1,|,,2   2,| ,74.44  133 | ,78.06,91
 105,Harvard,=  76.23 ,20,8,69.14( 245),,0,1,|,,0   3,| ,76.89  101 | ,75.31,116
 106,Montana,=  76.21 ,20,10,70.40( 217),,0,0,|,,0   2,| ,75.83  116 | ,76.32,105
 107,Bradley,=  76.16 ,16,15,75.97(  79),,1,3,|,,1   4,| ,76.83  103 | ,75.23,117
 108,Appalachian State,=  76.12 ,22,12,71.18( 193),,0,1,|,,0   1,| ,76.36  110 | ,75.6,113
 109,IUPUI,=  76.08 ,23,11,70.36( 219),,0,1,|,,0   2,| ,76.30  112 | ,75.59,114
 110,Akron,=  76.03 ,23,11,71.58( 182),,0,1,|,,0   2,| ,76.85  102 | ,74.96,122
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 111,Princeton,=  76.03 ,21,9,68.23( 265),,0,1,|,,0   3,| ,77.05  100 | ,74.78,123
 112,Morehead State,=  75.99 ,22,11,69.43( 238),,0,1,|,,0   2,| ,75.19  121 | ,76.54,102
 113,Oakland-Mich.,=  75.96 ,24,9,70.39( 218),,0,4,|,,0   5,| ,79.15   78 | ,72.94,148
 114,Fairfield,=  75.88 ,23,11,71.00( 197),,0,1,|,,0   2,| ,77.18   98 | ,74.38,128
 115,Weber State,=  75.74 ,18,11,71.87( 171),,0,1,|,,0   4,| ,75.58  118 | ,75.62,112
 116,Stanford,=  75.74 ,14,18,77.05(  66),,0,3,|,,0   7,| ,74.71  127 | ,76.53,103
 117,Auburn,=  75.72 ,14,17,76.33(  73),,0,2,|,,0   6,| ,74.40  134 | ,76.84,99
 118,Wis.-Green Bay,=  75.51 ,20,13,73.28( 144),,1,2,|,,1   2,| ,77.15   99 | ,73.71,134
 119,Oregon,=  75.45 ,16,16,75.69(  83),,0,4,|,,1   6,| ,75.41  119 | ,75.21,118
 120,George Washington,=  75.42 ,16,15,74.37( 116),,0,4,|,,0   7,| ,74.85  125 | ,75.71,111
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 121,Washington State,=  75.37 ,15,15,75.16(  94),,0,3,|,,0   6,| ,74.64  128 | ,75.83,109
 122,UCLA,=  75.35 ,14,18,77.17(  63),,1,4,|,,2   6,| ,74.98  124 | ,75.44,115
 123,Southern Miss,=  75.30 ,16,14,73.72( 130),,0,0,|,,0   4,| ,73.94  143 | ,76.45,104
 124,Northern Colorado,=  75.22 ,24,8,68.48( 260),,0,0,|,,0   0,| ,75.83  115 | ,74.35,129
 125,Arkansas,=  75.18 ,14,18,76.23(  75),,0,4,|,,1   6,| ,73.87  144 | ,76.26,106
 126,Indiana State,=  74.88 ,16,15,75.54(  85),,0,2,|,,0   2,| ,76.13  113 | ,73.41,139
 127,College of Charle,ston   =  74.81 ,22,12,71.47( 186),,0,1,|,,1   2,| ,76.31  111 | ,73.1,143
 128,Wis.-Milwaukee,=  74.78 ,18,14,73.20( 146),,0,4,|,,0   5,| ,75.10  122 | ,74.19,130
 129,Southern Illinois,=  74.69 ,14,15,74.03( 124),,0,2,|,,0   3,| ,73.95  142 | ,75.16,119
 130,Detroit,=  74.63 ,19,14,72.03( 168),,0,3,|,,0   3,| ,74.45  132 | ,74.52,127
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 131,Penn State,=  74.58 ,11,20,78.03(  51),,0,9,|,,0  13,| ,71.92  170 | ,77.23,96
 132,Boston University,=  74.58 ,21,14,70.12( 223),,0,2,|,,0   3,| ,74.17  138 | ,74.72,124
 133,UC Santa Barbara,=  74.57 ,19,10,71.81( 173),,0,2,|,,0   3,| ,76.65  106 | ,72.35,156
 134,Duquesne,=  74.52 ,15,16,75.93(  80),,1,4,|,,1   8,| ,75.63  117 | ,73.18,142
 135,St. Bonaventure,=  74.50 ,14,16,75.33(  92),,0,5,|,,1   6,| ,74.79  126 | ,73.93,132
 136,Utah,=  74.27 ,14,17,75.00( 101),,0,2,|,,3   8,| ,73.31  153 | ,74.97,121
 137,Western Kentucky,=  74.15 ,21,13,70.11( 224),,0,0,|,,1   0,| ,73.33  151 | ,74.71,125
 138,Jacksonville,=  74.00 ,20,13,70.45( 214),,0,1,|,,0   2,| ,74.10  139 | ,73.61,135
 139,Vermont,=  73.91 ,25,10,67.45( 283),,0,1,|,,0   2,| ,74.47  131 | ,73.09,144
 140,Rutgers,=  73.88 ,14,17,77.08(  65),,1,4,|,,2   7,| ,75.36  120 | ,72.18,158
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 141,Niagara,=  73.79 ,18,15,71.84( 172),,0,0,|,,0   0,| ,73.38  150 | ,73.92,133
 142,Western Carolina,=  73.71 ,19,12,70.89( 199),,0,1,|,,0   2,| ,74.49  130 | ,72.67,153
 143,Western Michigan,=  73.70 ,17,15,72.31( 161),,0,1,|,,0   1,| ,73.56  147 | ,73.55,137
 144,Long Beach State,=  73.69 ,15,16,74.42( 113),,0,4,|,,1   6,| ,74.37  135 | ,72.73,150
 145,Miami-Ohio,=  73.63 ,14,18,75.07(  99),,0,4,|,,0   5,| ,73.61  146 | ,73.36,141
 146,Oral Roberts,=  73.61 ,19,13,70.59( 211),,1,0,|,,2   1,| ,73.97  141 | ,72.97,147
 147,Drexel,=  73.56 ,16,16,73.59( 135),,0,2,|,,0   5,| ,73.85  145 | ,72.99,146
 148,Morgan State,=  73.49 ,27,10,66.40( 302),,0,2,|,,0   3,| ,74.35  136 | ,72.36,155
 149,Colorado State,=  73.39 ,15,16,74.82( 105),,0,2,|,,0   9,| ,74.02  140 | ,72.49,154
 150,Hofstra,=  73.38 ,18,15,72.08( 165),,0,1,|,,0   2,| ,73.04  155 | ,73.45,138
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 151,Belmont,=  73.34 ,19,12,69.09( 248),,0,1,|,,0   2,| ,72.38  164 | ,74.04,131
 152,Cleveland State,=  73.27 ,14,17,74.84( 104),,0,6,|,,0   6,| ,73.33  152 | ,72.94,149
 153,Oregon State,=  73.26 ,14,18,75.80(  82),,1,1,|,,1   4,| ,72.88  157 | ,73.37,140
 154,Buffalo,=  73.25 ,17,12,71.76( 175),,0,1,|,,0   1,| ,74.58  129 | ,71.67,167
 155,Coastal Carolina,=  73.21 ,24,7,63.87( 334),,0,1,|,,0   1,| ,73.45  148 | ,72.69,152
 156,East Tennessee St,ate    =  73.04 ,19,15,71.16( 194),,0,2,|,,0   2,| ,72.80  159 | ,73,145
 157,North Texas,=  72.86 ,22,9,67.93( 276),,0,2,|,,0   3,| ,74.20  137 | ,71.26,173
 158,George Mason,=  72.68 ,17,15,72.90( 153),,0,2,|,,1   4,| ,73.38  149 | ,71.7,166
 159,Idaho,=  72.65 ,13,16,73.53( 137),,0,0,|,,0   2,| ,72.31  165 | ,72.71,151
 160,La Salle,=  72.48 ,12,18,75.48(  86),,0,6,|,,0  10,| ,72.41  163 | ,72.27,157
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 161,Massachusetts,=  72.42 ,11,20,77.59(  55),,0,5,|,,1   9,| ,73.26  154 | ,71.31,172
 162,Fresno State,=  72.10 ,14,18,73.37( 141),,0,1,|,,0   4,| ,72.10  169 | ,71.82,163
 163,Drake,=  72.03 ,14,19,74.53( 111),,0,3,|,,0   4,| ,72.66  160 | ,71.12,174
 164,Troy,=  72.01 ,17,13,71.33( 189),,0,0,|,,0   1,| ,72.95  156 | ,70.78,181
 165,Saint Joseph's-Pa,.      =  71.87 ,11,20,77.35(  59),,1,5,|,,1  10,| ,72.81  158 | ,70.65,183
 166,Loyola Marymount,=  71.81 ,17,16,72.21( 162),,0,0,|,,2   4,| ,72.64  161 | ,70.7,182
 167,Valparaiso,=  71.75 ,12,17,74.60( 110),,0,4,|,,0   5,| ,72.15  167 | ,71.06,177
 168,Iowa,=  71.68 ,10,22,78.35(  47),,0,9,|,,0  12,| ,71.05  181 | ,72.02,159
 169,Stephen F. Austin,=  71.65 ,20,9,66.16( 305),,0,0,|,,0   1,| ,71.48  173 | ,71.53,169
 170,SMU,=  71.64 ,12,17,72.89( 154),,0,1,|,,0   4,| ,69.43  202 | ,73.58,136
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 171,Davidson,=  71.63 ,14,15,72.36( 160),,0,1,|,,0   4,| ,72.12  168 | ,70.86,180
 172,Campbell,=  71.61 ,17,11,68.28( 263),,0,0,|,,0   1,| ,71.22  177 | ,71.72,165
 173,Indiana,=  71.60 ,10,21,78.44(  46),,0,9,|,,2  11,| ,71.19  178 | ,71.73,164
 174,Central Florida,=  71.56 ,14,17,73.61( 134),,0,0,|,,0   4,| ,71.31  176 | ,71.54,168
 175,San Jose State,=  71.54 ,13,17,73.61( 133),,0,0,|,,0   4,| ,72.16  166 | ,70.64,184
 176,Boise State,=  71.39 ,14,17,71.72( 177),,0,0,|,,0   3,| ,70.59  189 | ,71.9,161
 177,Rider,=  71.29 ,17,16,72.09( 164),,0,1,|,,0   1,| ,72.52  162 | ,69.77,196
 178,Saint Peter's,=  71.24 ,16,14,69.77( 231),,0,0,|,,0   0,| ,71.12  180 | ,71.07,176
 179,Middle Tennessee,=  71.23 ,17,14,68.86( 251),,0,1,|,,0   2,| ,70.18  196 | ,71.99,160
 180,Stony Brook-NY,=  71.11 ,21,10,66.24( 304),,0,0,|,,0   1,| ,71.39  174 | ,70.54,185
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 181,LSU,=  71.06 ,11,20,76.37(  71),,0,4,|,,0   7,| ,70.48  192 | ,71.36,170
 182,Robert Morris,=  70.97 ,23,12,66.45( 301),,0,2,|,,0   3,| ,71.39  175 | ,70.27,189
 183,Eastern Kentucky,=  70.96 ,18,13,68.10( 270),,0,1,|,,0   2,| ,70.53  190 | ,71.12,175
 184,Seattle,=  70.93 ,17,14,69.93( 228),,0,0,|,,0   2,| ,71.75  172 | ,69.82,195
 185,TCU,=  70.87 ,11,19,75.42(  90),,0,3,|,,0   9,| ,70.45  195 | ,71.02,178
 186,DePaul,=  70.79 ,8,23,78.70(  37),,1,5,|,,2   9,| ,69.38  204 | ,71.89,162
 187,Denver,=  70.66 ,19,13,68.25( 264),,0,1,|,,0   1,| ,70.92  183 | ,70.11,191
 188,Central Michigan,=  70.57 ,14,15,70.88( 200),,0,1,|,,0   1,| ,70.67  186 | ,70.2,190
 189,Austin Peay,=  70.44 ,15,15,71.29( 191),,0,3,|,,0   3,| ,71.17  179 | ,69.43,199
 190,Eastern Michigan,=  70.40 ,15,15,70.18( 222),,0,1,|,,0   1,| ,70.45  194 | ,70.07,193
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
