   1,Duke,=  95.75 ,35,5,80.98(   4),,6,3,|,1,6   4,| ,95.26    1 | ,96.02,1
   2,Kansas,=  94.44 ,33,3,79.55(  12),1,1,2,|,1,2   3,| ,94.45    2 | ,94.15,2
   3,Kentucky,=  92.35 ,35,3,77.70(  54),,2,2,|,,8   2,| ,92.84    3 | ,91.63,3
   4,Syracuse,=  91.31 ,30,5,78.53(  41),,5,2,|,1,0   3,| ,90.85    6 | ,91.53,4
   5,West Virginia,=  91.15 ,31,7,81.26(   1),,7,4,|,1,2   6,| ,91.72    5 | ,90.37,5
   6,Kansas State,=  90.57 ,28,8,81.15(   2),,9,5,|,1,1   7,| ,90.58    8 | ,90.29,6
   7,Baylor,=  89.76 ,27,8,80.30(   8),,6,5,|,,9   6,| ,89.74    9 | ,89.49,8
   8,Butler,=  89.57 ,33,5,77.38(  58),,5,2,|,,6   4,| ,92.03    4 | ,87.68,17
   9,Purdue,=  89.13 ,29,6,78.84(  30),,6,4,|,,9   5,| ,90.64    7 | ,87.7,15
  10,Ohio State,=  88.93 ,29,8,78.08(  50),,4,5,|,,8   7,| ,88.19   13 | ,89.51,7
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  11,Xavier-Ohio,=  87.97 ,26,9,78.73(  36),,2,6,|,,6   9,| ,87.97   15 | ,87.69,16
  12,BYU,=  87.67 ,29,6,74.68( 108),,0,1,|,,4   6,| ,86.60   21 | ,88.68,10
  13,Michigan State,=  87.59 ,28,9,79.04(  23),,5,5,|,,8   7,| ,88.70   10 | ,86.4,23
  14,Wisconsin,=  87.40 ,24,9,79.03(  24),,5,3,|,,6   6,| ,86.52   23 | ,88.15,12
  15,Tennessee,=  87.32 ,28,9,78.69(  38),,3,4,|,,6   6,| ,87.85   16 | ,86.55,21
  16,Texas A&M,=  87.28 ,23,10,80.79(   5),,3,7,|,,7  10,| ,87.39   18 | ,86.9,20
  17,Maryland,=  87.27 ,23,9,79.06(  22),,1,4,|,,7   7,| ,86.18   24 | ,88.31,11
  18,Villanova,=  87.26 ,25,8,79.50(  14),,4,4,|,,8   7,| ,87.81   17 | ,86.48,22
  19,Texas,=  87.12 ,24,10,79.08(  21),,2,7,|,,6   8,| ,85.68   26 | ,88.73,9
  20,Missouri,=  86.42 ,23,11,78.50(  42),,2,6,|,,5   8,| ,85.13   31 | ,87.76,13
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  21,Georgetown,=  86.34 ,23,11,80.55(   7),,5,5,|,,8   8,| ,85.51   28 | ,87,19
  22,Temple,=  86.33 ,29,6,77.09(  64),,3,2,|,,8   4,| ,88.16   14 | ,84.67,32
  23,Northern Iowa,=  85.98 ,30,5,75.47(  87),,1,1,|,,3   1,| ,88.22   12 | ,84.09,35
  24,Dayton,=  85.79 ,25,12,77.54(  56),,1,5,|,,5   8,| ,85.58   27 | ,85.72,26
  25,California,=  85.76 ,24,11,78.59(  39),,0,4,|,,1   7,| ,84.11   38 | ,87.72,14
  26,Pittsburgh,=  85.68 ,25,9,78.11(  48),,3,4,|,,4   6,| ,85.82   25 | ,85.26,30
  27,Clemson,=  85.50 ,21,11,79.19(  20),,2,5,|,,6   8,| ,84.08   39 | ,87.02,18
  28,Saint Mary's-Cal.,=  85.47 ,27,6,74.45( 112),,1,1,|,,5   4,| ,86.92   19 | ,84.03,36
  29,Georgia Tech,=  85.45 ,22,13,80.72(   6),,2,5,|,,8  10,| ,85.08   32 | ,85.57,29
  30,Florida State,=  85.19 ,22,10,78.78(  31),,0,4,|,,6   7,| ,84.53   33 | ,85.63,28
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  31,Washington,=  84.98 ,26,10,76.90(  69),,3,3,|,,5   3,| ,83.94   41 | ,85.93,24
  32,Cornell,=  84.86 ,27,5,71.68( 178),,2,3,|,,2   3,| ,88.29   11 | ,82.35,54
  33,Vanderbilt,=  84.83 ,23,9,78.08(  49),,3,2,|,,5   2,| ,84.29   36 | ,85.12,31
  34,New Mexico,=  84.74 ,30,5,75.07(  98),,5,0,|,,7   4,| ,86.87   20 | ,82.86,49
  35,Gonzaga,=  84.54 ,26,7,74.99( 102),,1,3,|,,4   5,| ,86.59   22 | ,82.7,51
  36,Marquette,=  84.47 ,22,12,78.77(  33),,3,6,|,,3  10,| ,83.25   45 | ,85.65,27
  37,Old Dominion,=  84.34 ,27,9,74.60( 109),,1,4,|,,2   5,| ,84.15   37 | ,84.26,34
  38,Oklahoma State,=  83.93 ,22,11,78.78(  32),,4,6,|,,4   8,| ,84.04   40 | ,83.54,39
  39,Virginia Tech,=  83.93 ,25,9,76.65(  70),,0,3,|,,4   6,| ,84.33   35 | ,83.26,43
  40,Wake Forest,=  83.87 ,20,11,80.28(   9),,3,3,|,,8   7,| ,85.50   29 | ,82.27,55
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
HOME,ADVANTAGE=  3.78,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  41,Richmond,=  83.81 ,26,9,77.00(  67),,4,2,|,,6   4,| ,85.43   30 | ,82.22,56
  42,UTEP,=  83.76 ,26,7,73.84( 128),,0,2,|,,0   3,| ,83.63   43 | ,83.6,38
  43,Minnesota,=  83.62 ,21,14,78.46(  44),,5,8,|,,5   8,| ,81.72   54 | ,85.88,25
  44,Utah State,=  83.33 ,26,8,73.66( 132),,1,1,|,,1   2,| ,82.03   53 | ,84.62,33
  45,San Diego State,=  83.31 ,23,9,76.07(  78),,0,3,|,,4   6,| ,83.32   44 | ,83.02,47
  46,Mississippi,=  83.20 ,24,11,76.24(  74),,1,6,|,,2   7,| ,82.64   48 | ,83.52,40
  47,North Carolina,=  83.02 ,20,17,81.03(   3),,2,7,|,,5  14,| ,83.87   42 | ,81.98,59
  48,UNLV,=  82.91 ,24,9,75.01( 100),,2,3,|,,4   6,| ,82.22   52 | ,83.38,41
  49,Rhode Island,=  82.87 ,26,10,76.21(  76),,1,4,|,,3   6,| ,84.39   34 | ,81.33,62
  50,Notre Dame,=  82.87 ,23,12,77.22(  62),,2,3,|,,5   4,| ,82.38   50 | ,83.1,46
FINAL,College Basketball,2009-2010    Div I,ga,mes,only    through,ga,mes,of,2,10,April,5 Mo,nday - NCAA Champ,ionship,Game
