  40,Villanova,$ =  83.25 ,22,13,78.68(  25),,3,7,|,,4   7,| ,84.15,34 | ,82.16,47
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
  41,Massachusetts,* =  83.05 ,25,11,76.51(  76),,0,2,|,,2   3,| ,84.19,33 | ,81.78,51
  42,UNLV,$ =  83.05 ,26,8,74.81( 114),,0,2,|,,3   5,| ,83.96,35 | ,81.96,48
  43,Baylor,$ =  82.76 ,20,11,77.56(  51),,2,5,|,,4   9,| ,82.78,44 | ,82.45,45
  44,Vanderbilt,$ =  82.63 ,26,8,76.61(  73),,1,1,|,,4   5,| ,84.26,32 | ,81.01,60
  45,Saint Mary's-Cal.,$ =  82.44 ,24,7,72.50( 165),,1,1,|,,3   3,| ,81.85,47 | ,82.79,43
  46,Oregon,$ =  82.20 ,18,14,79.50(   8),,1,6,|,,4  11,| ,81.23,54 | ,83.01,41
  47,Virginia Tech,* =  82.11 ,21,14,77.85(  46),,0,5,|,,1   8,| ,80.54,57 | ,83.78,38
  48,Dayton,* =  81.91 ,23,11,76.96(  64),,2,4,|,,2   5,| ,83.49,40 | ,80.31,67
  49,Nebraska,* =  81.90 ,20,13,76.36(  81),,1,4,|,,4   8,| ,81.29,51 | ,82.27,46
  50,New Mexico,* =  81.88 ,24,9,73.15( 149),,0,0,|,,1   4,| ,79.64,68 | ,84.67,33
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
  51,Kent State,$ =  81.75 ,28,7,74.01( 126),,0,2,|,,1   3,| ,83.84,37 | ,79.8,74
  52,Syracuse,* =  81.74 ,21,14,78.49(  31),,2,6,|,,3  11,| ,81.28,52 | ,81.93,49
  53,Arizona State,* =  81.48 ,21,13,76.91(  66),,2,5,|,,6  10,| ,81.26,53 | ,81.42,55
  54,Saint Joseph's,$ =  81.33 ,21,13,76.92(  65),,2,1,|,,5   4,| ,80.73,55 | ,81.68,53
  55,Kentucky,$ =  81.21 ,18,13,77.20(  55),,1,5,|,,5   8,| ,80.47,58 | ,81.73,52
  56,UAB,* =  80.97 ,23,11,74.79( 115),,0,2,|,,0   3,| ,80.34,59 | ,81.36,56
  57,South Alabama,$ =  80.89 ,24,7,71.95( 185),,0,1,|,,3   3,| ,81.38,50 | ,80.14,70
  58,Illinois State,* =  80.89 ,24,10,75.64(  95),,0,4,|,,0   5,| ,81.72,48 | ,79.84,73
  59,Creighton,* =  80.71 ,21,11,75.99(  89),,0,4,|,,1   5,| ,81.51,49 | ,79.7,78
  60,California,* =  80.64 ,17,16,79.34(  12),,1,7,|,,3  13,| ,79.92,64 | ,81.13,59
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
  61,Houston,~ =  80.60 ,24,10,72.13( 179),,0,2,|,,0   4,| ,80.2,61 | ,80.74,65
  62,Missouri,=  80.52 ,16,16,78.24(  37),,1,4,|,,4  11,| ,78.66,83 | ,82.54,44
  63,Georgia Tech,=  80.48 ,15,17,80.13(   2),,2,6,|,,3  11,| ,79.21,76 | ,81.64,54
  64,Rhode Island,* =  80.41 ,21,12,75.10( 109),,0,1,|,,1   4,| ,79.35,73 | ,81.33,57
  65,Akron,* =  80.40 ,24,11,73.06( 153),,0,0,|,,0   2,| ,80.3,60 | ,80.23,68
  66,Maryland,* =  80.29 ,19,15,77.13(  59),,1,4,|,,1   7,| ,79.39,70 | ,80.98,62
  67,Florida State,* =  80.18 ,19,15,78.21(  38),,1,6,|,,4   7,| ,79.39,71 | ,80.76,64
  68,Temple,$ =  80.15 ,21,13,77.18(  56),,1,3,|,,2   6,| ,80.64,56 | ,79.4,80
  69,Southern Illinois,* =  80.05 ,18,15,77.94(  45),,1,3,|,,4   4,| ,79.86,65 | ,79.95,71
  70,IUPUI,=  80.04 ,23,7,70.78( 222),,0,1,|,,1   1,| ,78.82,82 | ,81.14,58
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
  71,Tulsa,~ =  79.88 ,25,14,73.80( 134),,0,3,|,,0   4,| ,80,63 | ,79.48,79
  72,Oklahoma State,* =  79.80 ,16,16,79.38(  10),,2,6,|,,4  10,| ,79.53,69 | ,79.79,77
  73,Illinois,=  79.77 ,16,19,79.58(   6),,0  1,0,|,,1  13,| ,77.87,91 | ,81.79,50
  74,Wake Forest,=  79.73 ,17,13,76.45(  78),,1,2,|,,4   4,| ,79.02,79 | ,80.21,69
  75,Va. Commonwealth,* =  79.72 ,24,8,71.66( 196),,0,0,|,,0   2,| ,79.37,72 | ,79.79,76
  76,Texas Tech,=  79.59 ,15,15,79.26(  15),,2,5,|,,4  11,| ,79.64,66 | ,79.26,81
  77,Oral Roberts,$ =  79.57 ,23,9,73.08( 151),,0,3,|,,0   4,| ,79.07,78 | ,79.8,75
  78,Minnesota,* =  79.56 ,20,14,76.47(  77),,2,7,|,,2   9,| ,78.07,88 | ,81.01,61
  79,Providence,=  79.03 ,15,16,78.57(  28),,0,8,|,,3  10,| ,78.63,84 | ,79.16,82
  80,Bradley,~ =  78.93 ,21,17,76.15(  86),,1,3,|,,1   4,| ,79.64,67 | ,77.97,87
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
  81,Utah,~ =  78.81 ,17,15,75.77(  92),,0,0,|,,2   8,| ,76.77,106 | ,80.97,63
  82,Charlotte,* =  78.76 ,20,14,76.57(  74),,2,1,|,,3   4,| ,79.15,77 | ,78.1,86
  83,Washington,~ =  78.66 ,16,17,77.99(  42),,1,7,|,,3  11,| ,77.34,98 | ,79.84,72
  84,Duquesne,=  78.53 ,17,13,73.88( 131),,0,4,|,,1   5,| ,76.57,108 | ,80.56,66
  85,Miami-Ohio,~ =  78.43 ,17,16,77.82(  47),,1,2,|,,2   4,| ,78.15,87 | ,78.44,84
  86,Georgia,$ =  78.28 ,16,17,78.01(  41),,0,4,|,,4  11,| ,78.04,89 | ,78.24,85
  87,Siena,$ =  78.16 ,23,11,72.20( 174),,1,1,|,,2   2,| ,78.85,81 | ,77.22,96
  88,Cleveland State,* =  78.11 ,19,13,76.21(  84),,1,3,|,,1   4,| ,79.34,74 | ,76.7,103
  89,Alabama,=  78.10 ,17,16,76.85(  68),,0,4,|,,4  10,| ,77.4,97 | ,78.55,83
  90,CS Fullerton,$ =  77.81 ,23,9,70.44( 230),,0,1,|,,0   3,| ,77.51,96 | ,77.84,89
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
  91,Wright State,=  77.78 ,21,10,73.71( 135),,1,1,|,,1   1,| ,80.03,62 | ,75.55,118
  92,George Mason,$ =  77.73 ,23,11,72.66( 160),,0,1,|,,2   2,| ,77.73,93 | ,77.44,92
  93,Stephen F. Austin,* =  77.70 ,22,6,69.57( 256),,0,0,|,,1   1,| ,79.26,75 | ,76,115
  94,Valparaiso,~ =  77.68 ,20,14,75.26( 106),,0,4,|,,0   5,| ,79.01,80 | ,76.17,110
  95,NC State,=  77.66 ,15,16,78.51(  30),,1,7,|,,4   8,| ,78.34,86 | ,76.73,102
  96,Western Michigan,=  77.57 ,20,12,73.55( 139),,1,0,|,,1   1,| ,77.56,95 | ,77.31,95
  97,San Diego State,* =  77.54 ,19,13,74.75( 116),,0,0,|,,2   8,| ,76.89,104 | ,77.93,88
  98,Ohio University,~ =  77.50 ,20,13,74.85( 113),,0,1,|,,0   2,| ,77.76,92 | ,76.96,99
  99,Virginia,~ =  77.15 ,17,16,76.41(  80),,0,5,|,,1   8,| ,76.97,102 | ,77.04,97
 100,NC Greensboro,=  77.00 ,19,12,72.80( 155),,0,3,|,,0   4,| ,76.8,105 | ,76.92,100
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
 101,Missouri State,=  76.97 ,16,16,76.08(  87),,1,1,|,,1   3,| ,76.67,107 | ,76.99,98
 102,South Carolina,=  76.83 ,14,18,77.17(  57),,0,4,|,,2  11,| ,75.78,121 | ,77.67,91
 103,Seton Hall,=  76.82 ,17,15,76.62(  72),,1,7,|,,1  10,| ,77.59,94 | ,75.79,117
 104,San Diego,$ =  76.79 ,21,14,73.52( 140),,0,0,|,,4   7,| ,77.88,90 | ,75.47,119
 105,Illinois-Chicago,=  76.71 ,17,15,74.99( 110),,0,3,|,,0   3,| ,76.89,103 | ,76.25,109
 106,Winthrop,$ =  76.40 ,20,12,72.20( 175),,0,3,|,,1   5,| ,75.78,120 | ,76.76,101
 107,Cincinnati,~ =  76.40 ,13,19,79.49(   9),,3,7,|,,4   9,| ,76.19,112 | ,76.33,107
 108,Northern Iowa,=  76.28 ,17,14,75.37( 100),,0,2,|,,1   2,| ,77.1,100 | ,75.2,122
 109,Southern Miss,=  76.28 ,15,14,74.85( 112),,0,3,|,,0   4,| ,75.01,129 | ,77.34,94
 110,UTEP,~ =  76.22 ,19,14,73.50( 141),,0,2,|,,0   4,| ,74.82,133 | ,77.43,93
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
 111,Boise State,$ =  76.21 ,24,9,70.49( 229),,0,2,|,,1   2,| ,77.04,101 | ,75.13,124
 112,Boston College,=  76.20 ,14,17,77.95(  43),,0,6,|,,1  10,| ,76.12,114 | ,75.99,116
 113,Cornell,$ =  76.09 ,21,6,68.86( 282),,0,2,|,,0   2,| ,78.4,85 | ,73.73,140
 114,UC Santa Barbara,* =  75.97 ,22,9,70.94( 216),,0,2,|,,1   3,| ,77.17,99 | ,74.54,130
 115,Penn State,=  75.87 ,15,16,76.73(  71),,2,5,|,,3   7,| ,76.01,117 | ,75.45,120
 116,Nevada,~ =  75.84 ,20,12,72.49( 166),,0,1,|,,0   2,| ,74.91,132 | ,76.52,105
 117,DePaul,=  75.84 ,11,19,79.27(  14),,0,9,|,,1  13,| ,75.03,128 | ,76.39,106
 118,Utah State,* =  75.80 ,23,11,70.12( 241),,0,0,|,,0   1,| ,75.22,126 | ,76.1,113
 119,Georgia Southern,=  75.71 ,18,12,72.80( 156),,0,2,|,,0   3,| ,76.16,113 | ,74.98,126
 120,New Mexico State,=  75.70 ,20,14,71.15( 207),,0,4,|,,1   5,| ,73.63,152 | ,77.68,90
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
 121,Iowa State,=  75.66 ,13,18,77.60(  50),,0,6,|,,2  11,| ,74.94,131 | ,76.11,112
 122,Portland State,$ =  75.64 ,21,10,71.39( 203),,0,3,|,,0   3,| ,75.81,119 | ,75.17,123
 123,Sam Houston State,=  75.60 ,19,8,69.64( 251),,0,0,|,,0   0,| ,76.09,116 | ,74.83,127
 124,Robert Morris,* =  75.53 ,26,8,67.84( 309),,0,0,|,,0   0,| ,76.3,111 | ,74.49,133
 125,Central Florida,=  75.41 ,16,15,73.29( 145),,0,1,|,,0   5,| ,73.96,146 | ,76.65,104
 126,LSU,=  75.37 ,12,18,77.23(  54),,0,2,|,,2   9,| ,74.34,142 | ,76.15,111
 127,Rider,~ =  75.29 ,23,11,70.03( 244),,0,0,|,,0   1,| ,75.75,122 | ,74.56,129
 128,Belmont,$ =  75.28 ,24,9,69.32( 270),,0,2,|,,0   2,| ,76.33,110 | ,73.98,137
 129,Saint Louis,=  75.25 ,15,15,75.73(  94),,0,2,|,,1   6,| ,76.48,109 | ,73.8,139
 130,Old Dominion,~ =  75.18 ,18,16,73.48( 142),,0,4,|,,1   4,| ,74.72,137 | ,75.35,121
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
 131,CS Northridge,=  75.13 ,19,10,70.32( 235),,0,0,|,,0   1,| ,75.56,124 | ,74.42,134
 132,South Florida,=  75.12 ,12,19,77.07(  60),,0,6,|,,0   8,| ,73.7,151 | ,76.31,108
 133,Niagara,=  75.00 ,19,10,70.85( 220),,0,0,|,,0   0,| ,75.49,125 | ,74.24,135
 134,UMBC(Md-Balt),$ =  74.98 ,23,9,69.57( 255),,0,3,|,,0   3,| ,75.99,118 | ,73.72,141
 135,Colorado,=  74.96 ,11,20,78.93(  23),,0,6,|,,3  12,| ,73.6,154 | ,76.09,114
 136,Indiana State,=  74.85 ,14,16,76.82(  69),,0,4,|,,0   5,| ,76.1,115 | ,73.37,146
 137,Wis.-Green Bay,=  74.80 ,15,15,75.37(  99),,0,5,|,,0   6,| ,75.64,123 | ,73.69,142
 138,North Texas,=  74.37 ,17,11,70.82( 221),,0,1,|,,0   3,| ,73.93,147 | ,74.52,131
 139,Brown,~ =  74.34 ,19,10,70.18( 240),,0,1,|,,0   2,| ,74.94,130 | ,73.46,144
 140,St. John's,=  74.33 ,11,19,78.57(  29),,0,9,|,,0  13,| ,73.86,148 | ,74.51,132
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
 141,Richmond,~ =  74.20 ,16,15,75.19( 108),,0,2,|,,2   3,| ,75.09,127 | ,73.05,149
 142,Marist,=  74.19 ,18,14,72.40( 169),,0,0,|,,0   2,| ,74.77,135 | ,73.33,148
 143,Auburn,=  74.14 ,14,16,75.27( 104),,0,3,|,,2  10,| ,74.46,139 | ,73.53,143
 144,Marshall,=  74.10 ,14,14,74.36( 122),,0,3,|,,0   3,| ,73.79,149 | ,74.12,136
 145,Pacific,=  73.98 ,20,10,69.50( 258),,0,0,|,,0   1,| ,74.65,138 | ,73.04,150
 146,Appalachian State,=  73.94 ,17,13,72.19( 176),,0,2,|,,1   2,| ,74.23,144 | ,73.36,147
 147,Chattanooga,=  73.69 ,16,13,73.06( 152),,0,4,|,,0   4,| ,74.8,134 | ,72.32,159
 148,Michigan,=  73.56 ,10,22,79.51(   7),,1  1,0,|,,1  13,| ,72.12,170 | ,74.75,128
 149,Iowa,=  73.52 ,13,19,76.03(  88),,2,7,|,,2   9,| ,72.81,164 | ,73.96,138
 150,American Universi,ty   $ =  73.40 ,21,12,70.24( 238),,0,2,|,,0   3,| ,74.73,136 | ,71.81,165
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
 151,La Salle,=  73.37 ,14,17,74.38( 121),,0,1,|,,1   4,| ,73.63,153 | ,72.83,154
 152,Northern Arizona,=  73.29 ,19,11,70.26( 237),,0,1,|,,1   3,| ,73.38,157 | ,72.91,152
 153,Tulane,=  73.22 ,16,15,74.00( 127),,0,2,|,,0   3,| ,73.71,150 | ,72.44,157
 154,NC Wilmington,=  73.18 ,20,13,71.03( 213),,0,1,|,,0   1,| ,74.3,143 | ,71.79,166
 155,North Dakota Stat,e      =  73.10 ,14,13,71.29( 204),,0,0,|,,0   1,| ,70.95,184 | ,75.01,125
 156,Austin Peay,$ =  72.98 ,24,11,69.04( 279),,0,2,|,,0   3,| ,74.39,140 | ,71.3,170
 157,NC Asheville,* =  72.97 ,19,10,69.73( 248),,0,3,|,,0   4,| ,73.06,160 | ,72.59,155
 158,Oakland-Mich.,=  72.91 ,15,14,72.84( 154),,0,2,|,,1   2,| ,72.12,169 | ,73.42,145
 159,Wis.-Milwaukee,=  72.78 ,13,16,75.27( 105),,0,5,|,,0   5,| ,74.11,145 | ,71.17,173
 160,Air Force,=  72.73 ,14,14,72.73( 158),,0,1,|,,1   6,| ,72.15,168 | ,73.02,151
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
 161,Lamar,=  72.61 ,15,11,70.42( 233),,0,0,|,,0   2,| ,72.73,166 | ,72.2,161
 162,Fordham,=  72.53 ,11,17,75.82(  91),,0,2,|,,1   3,| ,72.66,167 | ,72.12,162
 163,Central Michigan,=  72.42 ,13,16,74.68( 117),,0,0,|,,0   0,| ,73.48,155 | ,71.09,175
 164,Loyola-Maryland,=  72.37 ,19,14,70.93( 218),,0,1,|,,0   2,| ,73.42,156 | ,71.04,176
 165,Wichita State,=  72.35 ,11,20,75.31( 102),,0,2,|,,0   3,| ,71.54,181 | ,72.88,153
 166,College of Charle,ston   =  72.34 ,16,17,72.16( 177),,0,2,|,,0   3,| ,71.93,173 | ,72.46,156
 167,Middle Tennessee,=  72.31 ,16,15,73.37( 144),,0,2,|,,0   5,| ,73.09,158 | ,71.25,172
 168,Texas-Arlington,$ =  72.30 ,17,12,70.20( 239),,0,1,|,,0   1,| ,73.07,159 | ,71.25,171
 169,Northeastern,=  72.18 ,14,17,73.22( 147),,0,0,|,,0   1,| ,71.65,177 | ,72.42,158
 170,UC Irvine,=  72.13 ,17,16,71.15( 208),,0,1,|,,0   2,| ,72,172 | ,71.97,164
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
 171,East Tennessee St,ate    =  72.12 ,18,13,70.29( 236),,0,0,|,,0   2,| ,72.81,165 | ,71.15,174
 172,Holy Cross,=  72.06 ,15,14,70.94( 217),,0,0,|,,0   1,| ,71.8,175 | ,72.03,163
 173,Morgan State,* =  71.96 ,21,11,67.34( 316),,0,0,|,,0   3,| ,73.02,161 | ,70.6,182
 174,New Orleans,=  71.86 ,17,13,70.62( 226),,0,0,|,,0   1,| ,72.84,162 | ,70.59,183
 175,George Washington,=  71.82 ,9,17,76.25(  83),,0,3,|,,1   5,| ,71.61,179 | ,71.74,167
 176,Ark.-Little Rock,=  71.43 ,18,11,69.62( 254),,0,0,|,,0   2,| ,72.82,163 | ,69.72,191
 177,Santa Clara,=  71.25 ,13,16,72.53( 164),,0,1,|,,0   6,| ,69.88,197 | ,72.31,160
 178,Wagner,=  71.17 ,23,8,66.74( 325),,0,0,|,,0   1,| ,74.36,141 | ,67.55,228
 179,William & Mary,=  71.04 ,15,16,72.43( 168),,0,1,|,,0   1,| ,72.08,171 | ,69.7,192
 180,Mount St. Mary's,$ =  71.01 ,19,15,69.76( 247),,0,1,|,,0   3,| ,71.68,176 | ,70.04,187
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
 181,TCU,=  70.91 ,13,16,72.24( 172),,0,1,|,,1   8,| ,70.2,194 | ,71.33,169
 182,Louisiana-Lafayet,te     =  70.88 ,14,15,71.67( 194),,0,1,|,,0   2,| ,70.6,190 | ,70.88,178
 183,Toledo,=  70.63 ,11,19,75.76(  93),,0,1,|,,0   4,| ,71.91,174 | ,69.02,199
 184,Eastern Michigan,=  70.59 ,14,17,72.15( 178),,0,1,|,,0   1,| ,70.69,189 | ,70.2,186
 185,Loyola-Chicago,=  70.37 ,10,19,75.23( 107),,0,2,|,,0   3,| ,71.28,182 | ,69.16,198
 186,Bowling Green,=  70.36 ,13,17,73.24( 146),,0,0,|,,0   0,| ,71.62,178 | ,68.77,206
 187,Weber State,=  70.33 ,15,13,69.31( 271),,0,0,|,,0   2,| ,69.5,198 | ,70.85,180
 188,Elon,=  70.31 ,13,18,73.10( 150),,0,3,|,,0   4,| ,70.45,191 | ,69.87,189
 189,Fairfield,=  70.29 ,14,16,71.99( 184),,0,1,|,,0   1,| ,71,183 | ,69.28,197
 190,Northwestern,=  70.28 ,7,22,78.21(  39),,0,9,|,,0  11,| ,68.58,207 | ,71.63,168
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
