FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  41,Miami-Florida,=  83.50 ,18,13,78.71(  34),,1,5,|,,3   9,| ,82.98   45 | ,83.81,36
  42,San Diego State,=  83.42 ,25,10,75.98(  70),,0,1,|,,4   8,| ,82.65   47 | ,84.03,33
  43,Butler,=  83.37 ,25,6,74.49(  97),,1,0,|,,1   2,| ,83.72   40 | ,82.84,45
  44,Tennessee,=  83.27 ,21,13,78.88(  32),,1,5,|,,4   6,| ,81.88   53 | ,84.71,29
  45,Georgetown,=  83.24 ,16,15,80.40(   5),,4,7,|,,5  10,| ,81.03   59 | ,86.09,25
  46,Maryland,=  82.97 ,21,14,79.10(  28),,3,8,|,,6  11,| ,83.86   38 | ,81.99,54
  47,Saint Mary's-Cal.,=  82.86 ,26,7,73.96( 112),,0,3,|,,2   4,| ,83.13   43 | ,82.39,51
  48,Kansas State,=  82.69 ,21,12,76.03(  67),,2,6,|,,3   8,| ,81.88   52 | ,83.35,40
  49,Florida,=  82.63 ,25,11,74.27( 104),,1,1,|,,2   6,| ,81.42   55 | ,83.78,38
  50,Utah State,=  82.48 ,29,5,71.87( 177),,0,1,|,,1   3,| ,82.49   48 | ,82.25,52
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  51,Kentucky,=  82.18 ,22,14,75.89(  72),,1,2,|,,5   7,| ,80.65   64 | ,83.79,37
  52,Washington State,=  82.05 ,17,16,79.14(  26),,3,6,|,,4  14,| ,80.77   63 | ,83.31,41
  53,Siena,=  82.05 ,27,8,74.04( 110),,0,4,|,,1   5,| ,83.17   42 | ,80.89,60
  54,Stanford,=  81.94 ,20,14,77.85(  47),,1,6,|,,4   9,| ,80.95   60 | ,82.82,47
  55,Temple,=  81.93 ,22,12,77.18(  55),,1,5,|,,3   5,| ,81.42   56 | ,82.24,53
  56,UAB,=  81.81 ,22,12,76.14(  66),,0,4,|,,1   6,| ,80.83   61 | ,82.66,48
  57,Dayton,=  81.65 ,27,8,74.05( 109),,3,2,|,,3   2,| ,83.73   39 | ,79.85,74
  58,Rhode Island,=  81.46 ,23,11,74.85(  90),,0,4,|,,1   5,| ,81.96   51 | ,80.8,61
  59,Northwestern,=  81.43 ,17,14,78.59(  39),,2,3,|,,6  11,| ,81.98   50 | ,80.72,63
  60,Davidson,=  81.39 ,26,8,70.96( 208),,1,3,|,,1   5,| ,81.53   54 | ,81.04,59
