  43,La Salle,=  83.23 ,24,10,77.39(  64),,1,,3,|,,4   5,|   83.96   42 | ,82.47,50
  44,Colorado,=  82.88 ,21,12,79.54(  17),,3,,3,|,,5   5,|   82.77   46 | ,82.88,45
  45,UCLA,=  82.87 ,25,10,78.84(  25),,3,,4,|,,5   5,|   82.90   45 | ,82.73,47
  46,Belmont,=  82.87 ,24,7,72.89( 147),,0,,3,|,,1   3,|   82.55   49 | ,83.09,44
  47,Middle Tennessee,=  82.84 ,28,6,71.27( 196),,0,,2,|,,1   3,|   82.19   53 | ,83.46,42
  48,Virginia,=  82.69 ,23,12,75.27( 109),,2,,1,|,,4   4,|   81.67   58 | ,83.77,40
  49,Temple,=  82.57 ,24,10,77.10(  73),,3,,3,|,,5   4,|   83.55   44 | ,81.6,57
  50,Kentucky,=  82.50 ,21,12,76.52(  85),,1,,3,|,,3   5,|   81.07   60 | ,84.18,38
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
  51,Oklahoma,=  82.39 ,20,12,78.80(  27),,2,,4,|,,5   8,|   82.60   48 | ,82.07,52
  52,Villanova,=  82.32 ,19,14,80.05(  13),,4,,4,|,,5   9,|   82.61   47 | ,81.93,54
  53,Maryland,=  82.27 ,25,13,76.26(  90),,2,,2,|,,3   9,|   82.08   55 | ,82.36,51
  54,BYU,=  82.17 ,23,12,75.17( 111),,0,,5,|,,0   8,|   81.79   57 | ,82.47,49
  55,California,=  81.88 ,21,12,78.88(  23),,3,,3,|,,6   6,|   81.94   56 | ,81.71,55
  56,Boise State,=  81.68 ,19,11,77.63(  59),,1,,3,|,,4   8,|   82.28   52 | ,81.01,61
  57,Stony Brook-NY,=  81.66 ,24,8,71.17( 202),,0,,0,|,,0   2,|   82.33   51 | ,80.92,62
  58,Stanford,=  81.61 ,19,15,78.73(  30),,1,,3,|,,1  10,|   81.20   59 | ,81.95,53
  59,Bucknell,=  81.41 ,27,6,71.56( 183),,0,,0,|,,1   2,|   82.50   50 | ,80.34,66
  60,Denver,=  80.75 ,22,10,72.86( 149),,0,,0,|,,0   1,|   79.88   69 | ,81.61,56
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
  61,Southern Miss,=  80.71 ,25,10,74.79( 117),,0,,2,|,,0   5,|   80.21   65 | ,81.13,60
  62,Stephen F. Austin,=  80.68 ,23,5,68.45( 299),,0,,0,|,,0   0,|   82.14   54 | ,79.3,80
