FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
  41,Minnesota,=  82.89 ,23,15,79.68(  18),,1,,9,|,,2  10,|   84.41   28 |   82.43,43
  42,Temple,=  82.68 ,24,8,77.65(  55),,3,,1,|,,4   3,|   83.61   35 |   82.35,45
  43,VCU(Va. Commonwea,lth)   =  82.67 ,29,7,73.74( 140),,1,,1,|,,2   2,|   83.53   37 |   82.35,44
  44,Notre Dame,=  82.66 ,22,12,78.74(  36),,3,,5,|,,8   8,|   83.58   36 |   82.33,46
  45,Long Beach State,=  82.55 ,23,9,73.80( 134),,0,,5,|,,1   6,|   81.49   59 |   82.74,40
  46,West Virginia,=  82.39 ,19,14,79.59(  23),,2,,5,|,,4   9,|   81.69   57 |   82.47,42
  47,Washington,=  82.37 ,24,11,76.83(  67),,0,,3,|,,1   5,|   82.18   52 |   82.31,47
  48,Xavier-Ohio,=  82.29 ,23,13,78.53(  39),,3,,5,|,,5   7,|   82.78   44 |   82.06,49
  49,Harvard,=  82.26 ,25,5,72.38( 180),,1,,1,|,,1   2,|   82.80   43 |   82.01,50
  50,South Florida,=  82.02 ,21,14,79.47(  25),,1,,4,|,,4   9,|   82.99   42 |   81.68,53
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
  51,Oregon,=  81.96 ,24,10,76.43(  79),,0,,1,|,,3   7,|   82.51   47 |   81.72,52
  52,Middle Tennessee,=  81.81 ,26,7,73.02( 160),,0,,1,|,,1   3,|   81.93   55 |   81.67,54
  53,Arizona,=  81.62 ,23,12,76.58(  73),,0,,2,|,,2   4,|   80.21   70 |   81.91,51
  54,Miami-Florida,=  81.59 ,20,13,77.58(  56),,2,,6,|,,2  11,|   80.92   62 |   81.66,55
  55,Ohio,=  81.52 ,28,8,73.61( 144),,1,,2,|,,2   2,|   83.87   32 |   80.91,60
  56,Drexel,=  81.49 ,29,7,72.01( 190),,0,,0,|,,1   2,|   81.37   60 |   81.41,57
  57,Iona,=  81.29 ,25,8,72.61( 174),,0,,1,|,,0   2,|   79.93   73 |   81.56,56
  58,UCLA,=  81.25 ,18,14,76.74(  68),,0,,2,|,,2   7,|   78.16   95 |   82.12,48
  59,Pittsburgh,=  81.21 ,22,17,78.10(  43),,1,,5,|,,2  12,|   80.54   66 |   81.28,58
  60,Seton Hall,=  80.98 ,21,13,77.66(  54),,1,,4,|,,4   8,|   81.08   61 |   80.84,61
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
  61,San Diego State,=  80.90 ,24,8,75.94(  95),,1,,3,|,,4   6,|   83.77   33 |   80.19,71
  62,St. Bonaventure,=  80.90 ,20,12,76.25(  84),,0,,2,|,,1   5,|   79.86   75 |   81.07,59
  63,Illinois,=  80.89 ,17,15,79.98(  12),,3,,9,|,,4  11,|   82.04   53 |   80.50,66
  64,South Dakota Stat,e      =  80.79 ,25,8,71.92( 198),,0,,1,|,,1   2,|   80.21   69 |   80.84,62
  65,Massachusetts,=  80.66 ,25,12,75.95(  94),,1,,1,|,,3   3,|   81.99   54 |   80.24,70
  66,Southern Miss,=  80.51 ,23,9,76.26(  83),,1,,2,|,,2   3,|   81.83   56 |   80.08,73
  67,Northwestern,=  80.43 ,19,14,80.02(  10),,1,,9,|,,2  13,|   83.22   39 |   79.72,78
  68,Davidson,=  80.33 ,24,8,71.29( 217),,1,,4,|,,1   4,|   79.60   76 |   80.41,68
  69,New Mexico State,=  80.28 ,24,10,72.71( 169),,1,,2,|,,1   2,|   78.86   87 |   80.56,64
  70,Dayton,=  80.27 ,20,13,76.45(  78),,1,,1,|,,5   4,|   79.28   81 |   80.42,67
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
  71,Saint Joseph's-Pa,.      =  80.23 ,20,14,77.00(  64),,0,,1,|,,2   4,|   78.77   89 |   80.53,65
  72,Colorado,=  80.11 ,22,12,77.46(  57),,0,,2,|,,4   5,|   81.65   58 |   79.65,80
  73,La Salle,=  80.11 ,21,13,74.74( 119),,0,,2,|,,1   5,|   77.92  101 |   80.63,63
  74,Tennessee,=  80.07 ,18,15,78.01(  45),,3,,6,|,,4   7,|   78.91   86 |   80.27,69
  75,Northern Iowa,=  79.87 ,19,14,77.33(  58),,0,,2,|,,2   5,|   79.99   72 |   79.73,77
  76,Akron,=  79.77 ,21,12,75.01( 115),,0,,0,|,,0   2,|   79.41   78 |   79.75,76
  77,Mississippi State,=  79.73 ,21,12,76.11(  89),,1,,3,|,,3   4,|   79.91   74 |   79.58,81
  78,Virginia Tech,=  79.53 ,16,17,77.78(  49),,0,,8,|,,1  12,|   77.64  105 |   79.95,74
  79,Marshall,=  79.44 ,20,14,77.24(  60),,0,,4,|,,2   6,|   79.30   80 |   79.37,84
  80,Oregon State,=  79.43 ,20,15,75.36( 105),,0,,1,|,,3   6,|   77.23  112 |   79.94,75
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
  81,Illinois State,=  79.40 ,21,14,75.19( 109),,1,,2,|,,1   6,|   78.99   85 |   79.40,83
  82,Cleveland State,=  79.33 ,21,11,74.27( 125),,1,,0,|,,1   2,|   78.84   88 |   79.35,85
  83,Washington State,=  79.29 ,18,18,76.66(  70),,0,,2,|,,2   4,|   77.38  110 |   79.72,79
  84,Lehigh,=  79.29 ,26,8,69.20( 296),,1,,1,|,,1   3,|   80.23   68 |   78.95,88
  85,Villanova,=  79.10 ,13,19,79.74(  15),,0,,7,|,,0  16,|   77.19  113 |   79.52,82
  86,Mercer,=  79.03 ,26,11,72.60( 175),,0,,1,|,,0   3,|   79.48   77 |   78.80,89
  87,Georgia State,=  78.94 ,22,12,70.62( 247),,0,,0,|,,1   2,|   74.88  143 |   80.09,72
  88,Iowa,=  78.81 ,18,17,78.99(  29),,4,,6,|,,6   8,|   80.73   64 |   78.25,92
  89,Denver,=  78.74 ,22,9,71.37( 211),,0,,0,|,,1   1,|   77.31  111 |   79.02,87
  90,Mississippi,=  78.67 ,20,14,77.93(  48),,0,,5,|,,1   6,|   80.08   71 |   78.22,95
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
  91,Oklahoma State,=  78.57 ,14,18,80.70(   6),,1,,9,|,,3  13,|   78.53   91 |   78.47,91
  92,Bucknell,=  78.51 ,24,10,70.86( 238),,0,,2,|,,0   3,|   79.18   82 |   78.24,94
  93,Clemson,=  78.44 ,16,15,75.00( 116),,1,,3,|,,3   4,|   75.52  137 |   79.18,86
  94,Oral Roberts,=  78.44 ,27,7,71.70( 201),,0,,1,|,,1   2,|   80.29   67 |   77.90,101
  95,Colorado State,=  78.42 ,20,12,76.67(  69),,1,,2,|,,2   5,|   80.64   65 |   77.81,102
  96,Oklahoma,=  78.33 ,15,16,78.52(  40),,2,,7,|,,2  12,|   78.22   94 |   78.25,93
  97,Buffalo,=  78.30 ,19,11,74.37( 122),,0,,0,|,,0   2,|   78.40   92 |   78.16,96
  98,LSU,=  78.27 ,18,15,77.67(  53),,1,,4,|,,2   6,|   79.03   84 |   77.98,99
  99,Missouri State,=  78.27 ,15,16,76.54(  75),,0,,3,|,,1   6,|   76.36  123 |   78.69,90
 100,Wagner,=  78.23 ,25,6,69.07( 300),,0,,0,|,,0   1,|   79.08   83 |   77.91,100
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
 101,Wyoming,=  78.08 ,19,12,73.78( 137),,0,,2,|,,1   4,|   77.88  102 |   78.02,98
 102,Nevada,=  77.97 ,27,7,71.97( 195),,0,,0,|,,1   3,|   82.27   49 |   76.98,109
 103,Tulsa,=  77.83 ,17,14,75.08( 112),,0,,2,|,,0   3,|   76.36  124 |   78.12,97
 104,George Mason,=  77.58 ,24,9,71.74( 200),,0,,0,|,,1   3,|   78.15   97 |   77.33,105
 105,Montana,=  77.39 ,23,7,69.60( 284),,0,,1,|,,1   1,|   77.84  103 |   77.16,107
 106,Richmond,=  77.23 ,16,16,76.10(  90),,0,,1,|,,1   3,|   75.93  132 |   77.46,103
 107,Princeton,=  77.22 ,18,12,73.73( 141),,1,,0,|,,2   2,|   77.45  108 |   77.05,108
 108,Texas-Arlington,=  77.18 ,23,9,68.90( 303),,0,,1,|,,0   3,|   75.81  135 |   77.43,104
 109,Georgia,=  77.17 ,15,17,79.21(  28),,1,,6,|,,2  10,|   78.08   98 |   76.84,113
 110,Arkansas,=  77.15 ,18,14,75.36( 106),,2,,2,|,,2   5,|   77.78  104 |   76.89,111
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
 111,Central Florida(U,CF)    =  76.99 ,20,11,75.39( 104),,1,,3,|,,2   4,|   79.31   79 |   76.34,119
 112,Old Dominion,=  76.95 ,22,14,73.56( 146),,0,,2,|,,1   4,|   76.80  119 |   76.88,112
 113,Robert Morris,=  76.95 ,26,11,70.81( 241),,0,,1,|,,0   1,|   77.98   99 |   76.58,118
 114,Butler,=  76.92 ,21,15,74.34( 123),,1,,3,|,,2   4,|   77.53  106 |   76.66,117
 115,UC Santa Barbara,=  76.89 ,18,11,71.93( 197),,0,,0,|,,0   7,|   74.92  141 |   77.31,106
 116,Fairfield,=  76.79 ,22,15,72.41( 179),,0,,0,|,,0   2,|   75.84  134 |   76.93,110
 117,Rutgers,=  76.77 ,14,18,77.97(  47),,1,,4,|,,4   8,|   76.07  127 |   76.84,114
 118,Texas A&M,=  76.76 ,13,18,78.77(  34),,0,1,0,|,,0  14,|   76.16  126 |   76.80,115
 119,Duquesne,=  76.48 ,15,15,76.98(  65),,0,,2,|,,0   4,|   76.88  118 |   76.26,120
 120,NC Asheville,=  76.48 ,21,10,70.42( 253),,0,,2,|,,0   4,|   75.01  140 |   76.75,116
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
 121,Providence,=  76.20 ,15,17,77.69(  52),,1,,5,|,,2  11,|   77.10  114 |   75.87,125
 122,Detroit,=  76.05 ,20,14,73.58( 145),,0,,1,|,,0   3,|   76.67  120 |   75.79,126
 123,Kent State,=  76.02 ,20,12,72.94( 161),,0,,0,|,,1   0,|   75.91  133 |   75.93,123
 124,Utah State,=  75.93 ,20,16,71.96( 196),,0,,1,|,,1   1,|   74.29  148 |   76.25,121
 125,Loyola-Maryland,=  75.80 ,24,9,71.25( 219),,0,,2,|,,0   2,|   78.27   93 |   75.10,130
 126,Lamar,=  75.75 ,21,12,69.96( 269),,0,,3,|,,0   3,|   73.83  156 |   76.15,122
 127,Penn State,=  75.75 ,12,20,79.93(  13),,1,1,1,|,,2  12,|   77.04  115 |   75.32,128
 128,Maryland,=  75.62 ,17,15,77.30(  59),,0,,6,|,,1  11,|   78.53   90 |   74.83,133
 129,Manhattan,=  75.60 ,21,13,70.16( 259),,0,,1,|,,0   1,|   73.91  152 |   75.93,124
 130,Vermont,=  75.38 ,24,12,68.91( 302),,0,,2,|,,0   4,|   74.14  150 |   75.59,127
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
 131,UAB,=  75.33 ,15,16,76.56(  74),,0,,4,|,,0   7,|   76.37  122 |   74.97,132
 132,Evansville,=  75.32 ,15,16,75.67(  97),,0,,4,|,,1   6,|   74.89  142 |   75.31,129
 133,Nebraska,=  75.20 ,12,18,80.31(   8),,1,,9,|,,1  12,|   77.98  100 |   74.43,140
 134,Milwaukee,=  75.13 ,19,14,73.41( 151),,0,,3,|,,0   3,|   76.03  128 |   74.79,134
 135,Weber State,=  75.11 ,23,7,69.46( 291),,0,,0,|,,0   3,|   77.45  107 |   74.44,139
 136,Valparaiso,=  74.98 ,20,12,73.77( 138),,0,,1,|,,0   1,|   77.42  109 |   74.28,144
 137,Loyola Marymount,=  74.88 ,19,13,73.51( 147),,1,,3,|,,3   6,|   76.43  121 |   74.38,141
 138,USC Upstate,=  74.81 ,19,13,72.61( 173),,0,,1,|,,1   2,|   74.73  144 |   74.72,135
 139,Drake,=  74.77 ,17,16,75.59( 101),,1,,1,|,,2   5,|   75.98  131 |   74.36,142
 140,Indiana State,=  74.73 ,17,15,75.61( 100),,1,,3,|,,1   6,|   75.99  130 |   74.30,143
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
 141,East Carolina,=  74.66 ,11,16,75.05( 113),,0,,2,|,,0   2,|   72.71  169 |   75.05,131
 142,Pennsylvania,=  74.58 ,20,13,73.13( 157),,0,,1,|,,1   3,|   75.72  136 |   74.18,147
 143,St. John's,=  74.56 ,13,19,78.98(  30),,0,,7,|,,3  10,|   76.02  129 |   74.08,149
 144,UTEP,=  74.49 ,15,17,74.84( 117),,1,,2,|,,1   3,|   73.71  158 |   74.58,137
 145,Auburn,=  74.46 ,15,16,76.22(  85),,0,,4,|,,1   7,|   76.26  125 |   73.90,154
 146,Boise State,=  74.45 ,12,17,75.47( 102),,0,,2,|,,0   5,|   73.81  157 |   74.51,138
 147,Bowling Green,=  74.42 ,15,16,73.78( 136),,0,,1,|,,1   1,|   73.29  162 |   74.60,136
 148,Oakland-Mich.,=  74.37 ,19,16,73.19( 155),,0,,1,|,,0   2,|   75.20  139 |   74.05,151
 149,Charlotte,=  74.28 ,13,17,76.21(  86),,0,,2,|,,0   5,|   73.89  154 |   74.26,145
 150,Rice,=  74.17 ,16,16,74.02( 128),,0,,1,|,,0   4,|   74.54  147 |   73.96,153
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
 151,TCU,=  74.16 ,17,15,75.64(  98),,1,,1,|,,3   2,|   77.03  116 |   73.35,160
 152,Stony Brook-NY,=  74.05 ,21,10,67.83( 328),,0,,1,|,,0   1,|   72.89  165 |   74.24,146
 153,East Tennessee St,ate    =  73.99 ,16,14,72.63( 172),,0,,0,|,,0   3,|   73.14  164 |   74.10,148
 154,San Francisco,=  73.98 ,18,14,72.38( 181),,1,,1,|,,1   7,|   73.89  153 |   73.89,155
 155,DePaul,=  73.96 ,12,19,77.10(  62),,0,,5,|,,0  12,|   73.87  155 |   73.87,156
 156,College of Charle,ston   =  73.87 ,19,12,71.02( 233),,0,,1,|,,0   1,|   74.55  146 |   73.58,157
 157,Long Island U.,=  73.77 ,25,9,69.49( 288),,0,,1,|,,0   1,|   77.01  117 |   72.88,165
 158,North Dakota Stat,e      =  73.76 ,16,14,70.92( 234),,0,,0,|,,0   1,|   72.17  176 |   74.06,150
 159,Idaho,=  73.63 ,17,14,72.77( 167),,0,,0,|,,0   1,|   73.99  151 |   73.43,159
 160,South Carolina,=  73.63 ,10,21,77.74(  51),,0,,8,|,,1   9,|   71.72  181 |   74.00,152
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
