   1,Florida,$=  96.14 ,35,5,78.14(  35),,9,2,|,,17   4,| ,97.59    1 | ,94.88,2
   2,Ohio State,$=  93.31 ,35,4,79.49(  11),1,2,4,|,,13   4,| ,97.48    2 | ,91.18,5
   3,North Carolina,$=  92.99 ,31,7,79.99(   8),,8,2,|,,16   5,| ,91.25    7 | ,95.5,1
   4,Kansas,$=  92.58 ,33,5,77.07(  59),,4,2,|,,7   3,| ,91.64    6 | ,93.35,3
   5,UCLA,$=  92.12 ,29,6,80.41(   3),1,0,3,|,,14   3,| ,93.09    3 | ,91.06,7
   6,Georgetown,$=  91.94 ,30,7,79.19(  19),,6,4,|,,14   6,| ,91.86    5 | ,91.67,4
   7,Memphis,$=  91.30 ,33,4,75.41(  93),,2,3,|,,3   4,| ,92.31    4 | ,90.2,8
   8,Wisconsin,$=  89.63 ,30,6,77.56(  49),,5,5,|,,9   6,| ,90.34    9 | ,88.71,9
   9,Texas A&M,$=  89.04 ,27,7,76.17(  76),,1,2,|,,4   3,| ,87.36   15 | ,91.09,6
  10,Oregon,$=  88.75 ,29,8,77.82(  40),,6,5,|,,9   5,| ,90.94    8 | ,87,21
FINAL,College Basketball,2006-2007    Div I,ga,mes,only    through,20,7,Apri,l,2,Monday,_ Ch,ampionship Game,,
HOME,ADVANTAGE=  4.20,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  11,Pittsburgh,$=  88.57 ,29,8,79.37(  14),,3,4,|,,9   7,| ,89.24   10 | ,87.68,11
  12,Tennessee,$=  87.84 ,24,11,80.41(   4),,3,6,|,,11   7,| ,87.89   13 | ,87.45,14
  13,Maryland,$=  87.42 ,25,9,77.80(  41),,4,2,|,,9   7,| ,86.26   22 | ,88.45,10
  14,Kentucky,$=  87.40 ,22,12,82.33(   1),,2,7,|,,9  12,| ,87.21   16 | ,87.24,17
  15,Butler,$=  87.20 ,27,7,76.16(  77),,5,2,|,,5   2,| ,86.60   20 | ,87.49,13
  16,Southern Illinois,$=  86.94 ,28,7,79.49(  10),,1,2,|,,7   4,| ,87.97   12 | ,85.78,27
  17,West Virginia,=  86.68 ,26,9,75.88(  82),,1,4,|,,5   7,| ,86.66   19 | ,86.35,26
  18,Arizona,$=  86.30 ,20,11,81.56(   2),,3,8,|,,4  11,| ,85.90   23 | ,86.36,25
  19,Michigan State,$=  86.12 ,23,12,78.61(  26),,2,8,|,,5   9,| ,85.09   26 | ,86.95,22
  20,Indiana,$=  86.08 ,21,11,78.91(  22),,4,7,|,,4   7,| ,84.82   27 | ,87.24,18
FINAL,College Basketball,2006-2007    Div I,ga,mes,only    through,20,7,Apri,l,2,Monday,_ Ch,ampionship Game,,
HOME,ADVANTAGE=  4.20,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  21,Southern Californ,ia    $=  86.06 ,25,12,77.95(  39),,4,5,|,,7   7,| ,86.35   21 | ,85.45,28
  22,UNLV,$=  86.02 ,29,7,76.80(  67),,1,2,|,,6   4,| ,88.51   11 | ,84.03,43
  23,Notre Dame,$=  86.00 ,24,8,74.95( 105),,2,3,|,,9   6,| ,84.57   30 | ,87.44,15
  24,Duke,$=  85.97 ,22,11,80.15(   5),,2,4,|,,8   9,| ,84.45   32 | ,87.54,12
  25,Purdue,$=  85.93 ,22,12,78.42(  32),,3,7,|,,5   8,| ,84.57   29 | ,87.25,16
  26,Washington State,$=  85.85 ,26,8,77.60(  48),,4,5,|,,4   6,| ,86.75   18 | ,84.77,37
  27,Louisville,$=  85.60 ,23,10,77.33(  54),,2,6,|,,5   8,| ,84.11   34 | ,87.11,19
  28,Vanderbilt,$=  85.56 ,21,12,79.28(  17),,4,4,|,,8   8,| ,85.78   24 | ,85.01,33
  29,Clemson,=  85.55 ,25,11,78.11(  36),,0,6,|,,9  10,| ,85.62   25 | ,85.14,32
  30,Georgia Tech,$=  85.46 ,20,12,78.53(  28),,4,5,|,,9   9,| ,84.01   36 | ,86.9,23
FINAL,College Basketball,2006-2007    Div I,ga,mes,only    through,20,7,Apri,l,2,Monday,_ Ch,ampionship Game,,
HOME,ADVANTAGE=  4.20,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  31,Villanova,$=  85.33 ,21,11,79.77(   9),,2,6,|,,6  10,| ,83.72   38 | ,87.05,20
  32,Texas,$=  85.24 ,25,10,77.23(  57),,1,6,|,,2   7,| ,84.74   28 | ,85.42,29
  33,Boston College,$=  85.10 ,21,12,79.34(  15),,2,6,|,,7   9,| ,84.55   31 | ,85.32,31
  34,Mississippi State,=  84.82 ,21,14,78.53(  29),,1,4,|,,5  10,| ,83.15   43 | ,86.62,24
  35,Florida State,=  84.62 ,22,13,79.10(  20),,3,5,|,,5  13,| ,84.13   33 | ,84.78,36
  36,Virginia Tech,$=  84.61 ,21,12,79.46(  12),,4,2,|,,7   6,| ,83.99   37 | ,84.92,35
  37,Air Force,=  84.56 ,25,9,75.14(  98),,1,2,|,,3   5,| ,84.07   35 | ,84.71,38
  38,Winthrop,$=  84.53 ,25,5,71.06( 193),,1,5,|,,3   5,| ,87.81   14 | ,82.13,55
  39,Virginia,$=  84.33 ,20,11,77.64(  45),,4,3,|,,8   5,| ,83.47   40 | ,84.93,34
  40,Nevada,$=  84.15 ,28,5,73.63( 133),,0,2,|,,1   2,| ,86.87   17 | ,81.98,56
FINAL,College Basketball,2006-2007    Div I,ga,mes,only    through,20,7,Apri,l,2,Monday,_ Ch,ampionship Game,,
HOME,ADVANTAGE=  4.20,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  41,Xavier-Ohio,$=  83.74 ,25,9,74.68( 109),,0,1,|,,2   3,| ,82.75   47 | ,84.49,40
  42,Arkansas,$=  83.69 ,21,14,80.01(   7),,2,5,|,,8   8,| ,83.25   42 | ,83.79,44
  43,Creighton,$=  83.64 ,22,11,78.26(  34),,1,2,|,,5   3,| ,82.59   50 | ,84.47,41
  44,Marquette,$=  83.41 ,23,10,77.24(  56),,4,5,|,,6   8,| ,83.51   39 | ,82.97,50
  45,DePaul,=  83.28 ,19,14,79.29(  16),,2,6,|,,4  10,| ,82.28   51 | ,84.03,42
  46,Missouri State,=  83.27 ,21,11,77.69(  44),,1,2,|,,1   6,| ,81.38   61 | ,85.35,30
  47,Syracuse,=  83.23 ,24,11,76.08(  78),,1,3,|,,4   6,| ,81.82   57 | ,84.55,39
  48,BYU,$=  82.90 ,24,9,75.93(  81),,1,4,|,,3   5,| ,82.93   45 | ,82.52,52
  49,Georgia,=  82.85 ,18,14,79.37(  13),,1,7,|,,4  12,| ,83.45   41 | ,81.97,57
  50,Alabama,=  82.75 ,20,12,77.96(  38),,1,4,|,,4   8,| ,82.68   48 | ,82.46,53
FINAL,College Basketball,2006-2007    Div I,ga,mes,only    through,20,7,Apri,l,2,Monday,_ Ch,ampionship Game,,
HOME,ADVANTAGE=  4.20,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  51,Illinois,$=  82.69 ,23,12,77.30(  55),,3,8,|,,3  10,| ,82.08   54 | ,82.98,49
  52,Va. Commonwealth,$=  82.32 ,28,7,72.09( 169),,1,1,|,,1   2,| ,82.76   46 | ,81.57,59
  53,Gonzaga,$=  82.23 ,23,11,75.72(  86),,1,4,|,,2   8,| ,81.36   62 | ,82.82,51
  54,LSU,=  82.18 ,17,15,78.90(  23),,3,2,|,,4  10,| ,80.66   66 | ,83.62,46
  55,Bradley,=  82.13 ,21,13,78.75(  24),,1,3,|,,2   8,| ,81.64   60 | ,82.27,54
  56,Michigan,=  82.00 ,22,13,77.60(  47),,3,9,|,,3  10,| ,82.63   49 | ,81.09,63
  57,Mississippi,=  81.92 ,21,13,78.10(  37),,1,4,|,,5   9,| ,82.95   44 | ,80.7,64
  58,Stanford,$=  81.86 ,18,13,79.03(  21),,3,6,|,,5   9,| ,82.11   53 | ,81.29,62
  59,Washington,=  81.73 ,19,13,77.53(  51),,3,6,|,,3   9,| ,81.72   59 | ,81.4,61
  60,Kansas State,=  81.64 ,23,12,76.30(  73),,1,4,|,,2   6,| ,81.16   64 | ,81.78,58
FINAL,College Basketball,2006-2007    Div I,ga,mes,only    through,20,7,Apri,l,2,Monday,_ Ch,ampionship Game,,
HOME,ADVANTAGE=  4.20,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  61,Massachusetts,=  81.44 ,24,9,73.93( 122),,0,3,|,,2   5,| ,81.98   55 | ,80.61,65
  62,Davidson,$=  81.38 ,27,5,71.15( 190),,0,2,|,,0   2,| ,81.87   56 | ,80.59,66
