gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,2018-03-12,1,0.542755036402,0.211291967775,0.08532772894,0.026046814373,0.005792222697,0.002095340839,0.000814365878,1,26,UCLA,83.24,East,11b
mens,2018-03-12,0,1.0,0.406828505396,0.049565472775,0.017733229056,0.006391238851,0.00207372217,0.000732541477,1,333,Alabama,82.21,East,9
mens,2018-03-12,0,1.0,0.417391014963,0.051930864484,0.018773260933,0.006207062304,0.002399242846,0.000721929081,1,2306,Kansas State,81.5,South,9
mens,2018-03-12,0,1.0,0.401271608272,0.138060152296,0.03669765794,0.007462491263,0.00248503802,0.000643042741,1,2350,Loyola (IL),81.28,South,11
mens,2018-03-12,0,1.0,0.369634740293,0.068108057263,0.034207260689,0.007797852315,0.001959269387,0.000592407097,1,152,North Carolina State,81.76,Midwest,9
mens,2018-03-12,0,1.0,0.38572600368,0.091677789451,0.026499880113,0.0082357425,0.002137441561,0.000576407567,1,142,Missouri,80.85,West,8
mens,2018-03-12,0,1.0,0.242624596274,0.077024450258,0.015563744306,0.005769054451,0.002062901346,0.000573505997,1,2166,Davidson,81.78,South,12
mens,2018-03-12,1,0.587140814639,0.26980949685,0.059156542893,0.015918449996,0.005708443294,0.001566725551,0.000511018742,1,183,Syracuse,81.85,Midwest,11b
mens,2018-03-12,0,1.0,0.404062577336,0.070718342217,0.023748290546,0.004361898986,0.001529881835,0.00041710059,1,2440,Nevada,81.83,South,7
mens,2018-03-12,0,1.0,0.417925140085,0.076265482568,0.023113686318,0.00684753777,0.001605513783,0.000394071963,1,2507,Providence,81.28,West,10
mens,2018-03-12,0,1.0,0.380787778651,0.179891868469,0.033542806936,0.006056592261,0.00136430395,0.000375284392,1,166,New Mexico State,79.8,Midwest,12
mens,2018-03-12,1,0.412859185361,0.155621419436,0.027305803217,0.007451769311,0.002703020519,0.000826987746,0.000295856272,1,9,Arizona State,81.26,Midwest,11a
mens,2018-03-12,1,0.457244963598,0.129771946681,0.040524468227,0.012476406762,0.002798223893,0.000753624204,0.000225746204,1,179,St. Bonaventure,80.26,East,11a
