gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,3/12/2017,0,1,0.987632002,0.803221307,0.589206004,0.401737092,0.241125214,0.149953843,1,222,Villanova,95.18,East,1
mens,3/12/2017,0,1,0.976795631,0.840203278,0.595332929,0.414664017,0.229399633,0.138479969,1,2250,Gonzaga,93.71,West,1
mens,3/12/2017,0,1,0.979612036,0.805572801,0.556596439,0.38029915,0.212211901,0.103890499,1,2305,Kansas,92.18,Midwest,1
mens,3/12/2017,0,1,0.966806379,0.681923407,0.474828915,0.302249843,0.168237626,0.081807351,1,96,Kentucky,92.28,South,2
mens,3/12/2017,0,1,0.979275339,0.798724713,0.57984198,0.298548916,0.15479223,0.069972958,1,153,North Carolina,91.74,South,1
mens,3/12/2017,0,1,0.966903494,0.779869687,0.510116107,0.236574934,0.122114058,0.066660798,1,150,Duke,92.26,East,2
mens,3/12/2017,0,1,0.973818119,0.668185522,0.465179387,0.21609735,0.110822048,0.049736748,1,97,Louisville,90.8,Midwest,2
mens,3/12/2017,0,1,0.952501635,0.568275078,0.392453362,0.161012216,0.079675082,0.043955031,1,12,Arizona,88.99,West,2
mens,3/12/2017,0,1,0.901829515,0.64560099,0.256005981,0.146890204,0.067773822,0.035333035,1,277,West Virginia,90.8,West,4
mens,3/12/2017,0,1,0.941723643,0.614538888,0.208319787,0.09754896,0.052713171,0.024859543,1,26,UCLA,88.02,South,3
mens,3/12/2017,0,1,0.844766912,0.491577691,0.178718249,0.095957031,0.047313098,0.024829884,1,258,Virginia,90.02,East,5
mens,3/12/2017,0,1,0.737770788,0.350551672,0.257520482,0.117770505,0.046161801,0.021078897,1,2608,Saint Mary's (CA),87.39,West,7
mens,3/12/2017,0,1,0.859696311,0.506128913,0.196615654,0.106255356,0.049423484,0.020099203,1,2509,Purdue,88.61,Midwest,4
mens,3/12/2017,0,1,0.692358309,0.244216763,0.149894119,0.083845937,0.043748014,0.019903768,1,2724,Wichita State,88.86,South,10
mens,3/12/2017,0,1,0.789641696,0.456299666,0.197903735,0.071711276,0.033629271,0.01690412,1,2567,Southern Methodist,88.43,East,6
mens,3/12/2017,0,1,0.830879631,0.41926545,0.165322582,0.090313293,0.041477263,0.016654491,1,66,Iowa State,87.92,Midwest,5
mens,3/12/2017,0,1,0.903498885,0.460614315,0.188426523,0.064282635,0.028869539,0.013981918,1,239,Baylor,87.66,East,3
mens,3/12/2017,0,1,0.922453145,0.612530911,0.21081951,0.065982422,0.02951077,0.011540626,1,2483,Oregon,87.3,Midwest,3
mens,3/12/2017,0,1,0.890205906,0.620125611,0.231390822,0.086281939,0.03298444,0.011023811,1,2086,Butler,86.52,South,4
mens,3/12/2017,0,1,0.874918052,0.443570125,0.12650591,0.057340559,0.023554631,0.010564921,1,57,Florida,87.84,East,4
mens,3/12/2017,0,1,0.875459337,0.619948032,0.223579927,0.069806579,0.024619697,0.010309222,1,52,Florida State,87.22,West,3
mens,3/12/2017,0,1,0.627992313,0.258161872,0.101708915,0.053018997,0.02391696,0.00940152,1,2132,Cincinnati,87.35,South,6
mens,3/12/2017,0,1,0.789798041,0.176214197,0.091755652,0.044102419,0.019314221,0.009153821,1,275,Wisconsin,87.84,East,8
mens,3/12/2017,0,1,0.63343539,0.229701754,0.136026186,0.050064359,0.021324031,0.007944688,1,130,Michigan,86.86,Midwest,7
mens,3/12/2017,0,1,0.754708167,0.276810125,0.082734021,0.038876177,0.014374157,0.0062574,1,87,Notre Dame,86.68,West,5
mens,3/12/2017,0,1,0.560859159,0.219366215,0.082632247,0.028122711,0.010679374,0.003554227,1,156,Creighton,84.43,Midwest,6
mens,3/12/2017,0,1,0.36656461,0.0999637,0.05710123,0.020032277,0.008217015,0.002949716,1,197,Oklahoma State,84.71,Midwest,10
mens,3/12/2017,0,1,0.551241404,0.111588464,0.040975026,0.015984554,0.005821239,0.00185981,1,2390,Miami (FL),84.56,Midwest,8
mens,3/12/2017,0,1,0.505738239,0.10119193,0.053221267,0.017318661,0.005918176,0.00177456,1,8,Arkansas,83.19,South,8
mens,3/12/2017,0,1,0.545707184,0.089275728,0.032689652,0.012532033,0.003773358,0.001385659,1,238,Vanderbilt,83.79,West,9
mens,3/12/2017,0,1,0.439140841,0.153258665,0.046331761,0.012863551,0.004473236,0.001366309,1,227,Rhode Island,84.02,Midwest,11
mens,3/12/2017,1,0.476091175,0.187298817,0.063258469,0.019092153,0.008213586,0.003287544,0.00114899,1,2306,Kansas State,83.08,South,11a
mens,3/12/2017,0,1,0.567264573,0.127884353,0.046432449,0.010826562,0.003178218,0.001064459,1,2579,South Carolina,83.08,East,7
mens,3/12/2017,0,1,0.494261761,0.097550713,0.045016708,0.01243802,0.003803673,0.001025091,1,2550,Seton Hall,82.95,South,9
mens,3/12/2017,0,1,0.307641691,0.070096544,0.028488469,0.01081393,0.003539775,0.00101835,1,2168,Dayton,82.84,South,7
mens,3/12/2017,0,1,0.432735427,0.086480328,0.034046864,0.00865809,0.002774714,0.001003543,1,269,Marquette,83.01,East,10
mens,3/12/2017,0,1,0.448758596,0.080259936,0.027907107,0.010376899,0.003360842,0.000958077,1,127,Michigan State,82.79,Midwest,9
mens,3/12/2017,1,0.523908825,0.18470887,0.056508128,0.016560448,0.006971182,0.002540492,0.000810581,1,154,Wake Forest,82.96,South,11b
