Round of 64,Round of 32,Sweet 16,Elite 8,Final 4,Championship Game
9 Oregon - 38.05%,8 Indiana - 3.29%,10 Saint Mary's - 0.74%,7 Miami (FL) - 0.23%,9 Oregon - 0.1%,6 Oklahoma - 0.04%
11 Kansas State - 34.13%,14 Boise State - 3.27%,9 Oregon - 0.72%,8 Brigham Young - 0.22%,8 Brigham Young - 0.1%,8 Mississippi State - 0.04%
10 Arizona - 34.04%,8 Mississippi State - 2.82%,9 Arkansas - 0.69%,12 George Mason - 0.19%,7 Miami (FL) - 0.08%,7 Miami (FL) - 0.04%
11 Baylor - 31.26%,12 Temple - 2.79%,8 UNLV - 0.66%,8 UNLV - 0.19%,16 Mississippi Valley State - 0.08%,12 George Mason - 0.03%
11 Kentucky - 28.91%,10 Saint Mary's - 2.78%,8 Brigham Young - 0.62%,11 Baylor - 0.16%,12 George Mason - 0.07%,8 UNLV - 0.03%
12 Villanova - 24.74%,7 Miami (FL) - 2.73%,10 South Alabama - 0.56%,16 Portland State - 0.15%,8 UNLV - 0.07%,9 Kent State - 0.03%
12 Western Kentucky - 23.5%,10 South Alabama - 2.22%,9 Kent State - 0.54%,14 Cornell - 0.15%,14 Boise State - 0.05%,16 Mississippi Valley State - 0.03%
12 George Mason - 22.56%,14 Cornell - 2.2%,12 George Mason - 0.53%,10 Saint Mary's - 0.15%,9 Kent State - 0.05%,11 Baylor - 0.03%
12 Temple - 19.31%,9 Oregon - 2.17%,14 Boise State - 0.53%,11 Saint Joseph's - 0.14%,16 Texas-Arlington - 0.05%,11 Saint Joseph's - 0.02%
10 South Alabama - 18.95%,13 Oral Roberts - 2.04%,14 Cornell - 0.53%,9 Kent State - 0.14%,14 Cornell - 0.05%,14 Boise State - 0.02%
13 Winthrop - 18.44%,9 Texas A&M; - 2.02%,12 Western Kentucky - 0.44%,12 Western Kentucky - 0.14%,10 Saint Mary's - 0.05%,15 American University - 0.02%
14 Georgia - 14.48%,13 Siena - 1.82%,12 Temple - 0.38%,16 Mount St Mary's - 0.13%,12 Western Kentucky - 0.05%,16 Portland State - 0.02%
13 Siena - 10.95%,13 San Diego - 1.7%,15 Belmont - 0.3%,16 Texas-Arlington - 0.13%,11 Baylor - 0.05%,12 Temple - 0.02%
14 Cornell - 6.7%,8 UNLV - 1.62%,13 Winthrop - 0.26%,16 Mississippi Valley State - 0.13%,11 Saint Joseph's - 0.04%,14 Cornell - 0.02%
13 San Diego - 6.56%,9 Kent State - 1.61%,15 American University - 0.25%,14 Boise State - 0.12%,16 Portland State - 0.04%,10 Saint Mary's - 0.02%
